sample,D
0.0,0.5
1.0,0.05
2.0,0.5
3.0,0.5
4.0,0.1
5.0,0.1
6.0,0.5
7.0,0.5
8.0,0.001
9.0,0.5
10.0,0.1
11.0,0.5
12.0,0.1
13.0,0.5
14.0,0.1
15.0,0.1
16.0,0.5
17.0,0.05
18.0,0.5
19.0,0.001
20.0,0.5
21.0,0.5
22.0,0.05
23.0,0.5
24.0,0.5
25.0,0.1
26.0,0.01
27.0,0.5
28.0,0.1
29.0,0.5
30.0,0.5
31.0,0.05
32.0,0.3
33.0,0.001
34.0,0.5
35.0,0.1
36.0,0.5
37.0,0.05
38.0,0.5
39.0,0.5
40.0,0.5
41.0,0.1
42.0,0.5
43.0,0.1
44.0,0.5
45.0,0.01
46.0,0.5
47.0,0.5
48.0,0.1
49.0,0.5
