sample,D,k
0.0,0.01,1.0
1.0,0.005,4.0
2.0,0.001,0.25
3.0,0.001,0.25
4.0,0.01,1.0
5.0,0.001,0.25
6.0,0.005,2.5
7.0,0.005,3.0
8.0,0.001,0.25
9.0,0.001,0.25
10.0,0.005,3.0
11.0,0.005,2.5
12.0,0.001,0.25
13.0,0.01,4.5
14.0,0.001,0.25
15.0,0.001,0.25
16.0,0.05,0.75
17.0,0.005,3.0
18.0,0.001,0.25
19.0,0.001,0.25
20.0,0.005,4.0
21.0,0.005,3.5
22.0,0.005,3.0
23.0,0.001,0.25
24.0,0.001,0.25
25.0,0.05,1.5
26.0,0.005,5.0
27.0,0.005,6.0
28.0,0.15,0.25
29.0,0.001,4.0
30.0,0.05,0.75
31.0,0.001,7.0
32.0,0.005,4.0
33.0,0.05,0.75
34.0,0.001,0.25
35.0,0.005,3.5
36.0,0.005,6.0
37.0,0.001,0.25
38.0,0.01,3.0
39.0,0.15,0.25
40.0,0.005,10.0
41.0,0.001,0.25
42.0,0.005,5.0
43.0,0.05,1.5
44.0,0.001,0.25
45.0,0.05,0.5
46.0,0.005,1.0
47.0,0.1,0.5
48.0,0.005,5.0
49.0,0.005,4.0
