sample,D,k
0.0,0.05,2.5
1.0,0.01,4.5
2.0,0.05,1.5
3.0,0.05,1.0
4.0,0.25,0.5
5.0,0.01,5.0
6.0,0.05,2.0
7.0,0.01,7.0
8.0,0.001,0.25
9.0,0.25,0.5
10.0,0.25,0.25
11.0,0.1,0.75
12.0,0.05,5.0
13.0,0.01,4.5
14.0,0.001,10.0
15.0,0.001,0.25
16.0,0.01,6.0
17.0,0.05,3.5
18.0,0.001,0.5
19.0,0.25,0.25
20.0,0.1,2.0
21.0,0.05,3.5
22.0,0.15,1.5
23.0,0.005,10.0
24.0,0.15,0.25
25.0,0.05,1.5
26.0,0.1,1.0
27.0,0.001,0.25
28.0,0.1,0.5
29.0,0.005,4.5
30.0,0.01,4.5
31.0,0.01,10.0
32.0,0.01,7.0
33.0,0.15,0.75
34.0,0.05,7.0
35.0,0.01,10.0
36.0,0.05,0.75
37.0,0.25,0.5
38.0,0.05,3.5
39.0,0.05,3.5
40.0,0.001,0.25
41.0,0.001,10.0
42.0,0.1,1.0
43.0,0.005,4.0
44.0,0.05,5.0
45.0,0.01,6.0
46.0,0.05,3.0
47.0,0.05,0.5
48.0,0.35,0.25
49.0,0.01,7.0
50.0,0.15,0.75
51.0,0.05,3.5
52.0,0.05,6.0
53.0,0.35,1.0
54.0,0.001,0.25
55.0,0.05,1.0
56.0,0.5,0.25
57.0,0.005,3.0
58.0,0.01,5.5
59.0,0.005,4.0
60.0,0.01,10.0
61.0,0.001,0.25
62.0,0.35,0.25
63.0,0.01,4.5
64.0,0.005,4.5
65.0,0.01,5.5
66.0,0.05,1.5
67.0,0.05,3.0
68.0,0.1,1.0
69.0,0.05,4.0
70.0,0.001,0.25
71.0,0.5,0.25
72.0,0.5,0.25
73.0,0.25,0.5
74.0,0.05,2.0
75.0,0.15,1.0
76.0,0.05,10.0
77.0,0.1,0.75
78.0,0.05,0.5
79.0,0.15,0.5
80.0,0.001,10.0
81.0,0.05,1.5
82.0,0.1,1.0
83.0,0.01,4.5
84.0,0.001,0.25
85.0,0.01,5.5
86.0,0.01,4.0
87.0,0.001,5.5
88.0,0.01,0.5
89.0,0.1,1.0
90.0,0.005,7.0
91.0,0.15,0.75
92.0,0.15,1.5
93.0,0.25,0.5
94.0,0.35,1.0
95.0,0.001,0.25
96.0,0.35,0.5
97.0,0.05,2.0
98.0,0.05,1.0
99.0,0.01,10.0
