sample,D,k
0.0,0.1,4.5
1.0,0.005,3.5
2.0,0.01,5.5
3.0,0.005,10.0
4.0,0.05,5.5
5.0,0.005,2.5
6.0,0.05,3.0
7.0,0.005,10.0
8.0,0.25,0.5
9.0,0.1,1.5
10.0,0.1,3.5
11.0,0.25,0.5
12.0,0.1,6.0
13.0,0.005,3.0
14.0,0.15,1.5
15.0,0.05,2.0
16.0,0.5,0.25
17.0,0.1,0.5
18.0,0.05,1.5
19.0,0.5,0.25
20.0,0.05,1.5
21.0,0.05,6.0
22.0,0.05,6.0
23.0,0.05,4.0
24.0,0.05,3.0
25.0,0.1,1.5
26.0,0.15,0.75
27.0,0.25,0.25
28.0,0.5,0.75
29.0,0.1,0.25
30.0,0.001,10.0
31.0,0.5,0.25
32.0,0.5,0.25
33.0,0.05,2.5
34.0,0.15,1.0
35.0,0.05,5.0
36.0,0.005,5.5
37.0,0.01,4.5
38.0,0.005,4.0
39.0,0.05,3.0
40.0,0.05,5.0
41.0,0.1,0.75
42.0,0.1,2.5
43.0,0.01,10.0
44.0,0.35,0.5
45.0,0.01,7.0
46.0,0.05,3.0
47.0,0.05,3.5
48.0,0.15,1.0
49.0,0.1,3.0
