D,k,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.001,1.057095276242629,-230.27418878223335,-1.0,0,train,20.0,74.0,82.0,46.0,54.0,0.66
0.005,1.057095276242629,-230.23768713269646,-1.0,0,train,20.0,74.0,82.0,48.0,54.0,0.663
0.01,1.057095276242629,-230.19319433607393,-1.0,0,train,20.0,74.0,82.0,48.0,54.0,0.664
0.05,1.057095276242629,-229.88261649039157,-1.0,0,train,18.0,72.0,82.0,46.0,57.99999999999999,0.67
0.1,1.057095276242629,-229.60650707619897,-1.0,0,train,20.0,74.0,78.0,46.0,64.0,0.667
0.15,1.057095276242629,-229.45118965710293,-1.0,0,train,24.0,74.0,78.0,48.0,66.0,0.678
0.25,1.057095276242629,-229.48233365668017,-1.0,0,train,28.000000000000004,76.0,78.0,50.0,64.0,0.684
0.35,1.057095276242629,-229.93012656939854,-1.0,0,train,26.0,76.0,78.0,48.0,57.99999999999999,0.674
0.5,1.057095276242629,-231.27361391883838,-1.0,0,train,20.0,72.0,80.0,48.0,57.99999999999999,0.656
0.0,,,,0,test,19.0,68.0,77.0,47.0,61.0,0.64
0.001,1.3384000668822948,-233.3446890517173,-1.0,1,train,26.0,64.0,70.0,44.0,50.0,0.593
0.005,1.3384000668822948,-233.33653372415503,-1.0,1,train,28.000000000000004,66.0,70.0,44.0,50.0,0.598
0.01,1.3384000668822948,-233.32741842880813,-1.0,1,train,30.0,66.0,70.0,44.0,50.0,0.599
0.05,1.3384000668822948,-233.29724188282944,-1.0,1,train,30.0,66.0,72.0,44.0,54.0,0.607
0.1,1.3384000668822948,-233.3640611687023,-1.0,1,train,32.0,66.0,70.0,42.0,54.0,0.609
0.15,1.3384000668822948,-233.5425399620452,-1.0,1,train,32.0,66.0,72.0,42.0,54.0,0.607
0.25,1.3384000668822948,-234.2116529438004,-1.0,1,train,32.0,66.0,70.0,44.0,52.0,0.604
0.35,1.3384000668822948,-235.25588796632567,-1.0,1,train,28.000000000000004,66.0,70.0,44.0,48.0,0.595
0.5,1.3384000668822948,-237.42846982923504,-1.0,1,train,24.0,57.99999999999999,76.0,38.0,44.0,0.572
0.0,,,,1,test,21.0,71.0,83.0,48.0,59.0,0.674
0.001,1.0841709830252952,-225.9849942285541,-1.0,2,train,22.0,74.0,84.0,38.0,57.99999999999999,0.675
0.005,1.0841709830252952,-225.9460566707507,-1.0,2,train,22.0,74.0,84.0,42.0,57.99999999999999,0.678
0.01,1.0841709830252952,-225.89904071406602,-1.0,2,train,22.0,74.0,84.0,42.0,57.99999999999999,0.681
0.05,1.0841709830252952,-225.58973139777945,-1.0,2,train,24.0,78.0,86.0,42.0,62.0,0.701
0.1,1.0841709830252952,-225.36784500956458,-1.0,2,train,20.0,76.0,86.0,44.0,64.0,0.705
0.15,1.0841709830252952,-225.31648292594141,-1.0,2,train,16.0,74.0,86.0,46.0,64.0,0.711
0.25,1.0841709830252952,-225.64776529753533,-1.0,2,train,16.0,78.0,82.0,44.0,54.0,0.673
0.35,1.0841709830252952,-226.4386784702112,-1.0,2,train,16.0,68.0,82.0,36.0,52.0,0.635
0.5,1.0841709830252952,-228.26603875963568,-1.0,2,train,14.000000000000002,64.0,78.0,36.0,50.0,0.585
0.0,,,,2,test,19.0,70.0,78.0,48.0,56.99999999999999,0.642
0.001,1.072392308729276,-213.01438473730192,-1.0,3,train,26.0,70.0,82.0,48.0,60.0,0.674
0.005,1.072392308729276,-212.99657000046568,-1.0,3,train,26.0,70.0,82.0,50.0,60.0,0.678
0.01,1.072392308729276,-212.97579537931338,-1.0,3,train,26.0,70.0,82.0,50.0,60.0,0.686
0.05,1.072392308729276,-212.86879493325725,-1.0,3,train,28.000000000000004,72.0,84.0,50.0,64.0,0.696
0.1,1.072392308729276,-212.87847190090943,-1.0,3,train,30.0,74.0,86.0,48.0,62.0,0.704
0.15,1.072392308729276,-213.03672030048702,-1.0,3,train,30.0,74.0,86.0,48.0,62.0,0.709
0.25,1.072392308729276,-213.74070790943267,-1.0,3,train,28.000000000000004,72.0,86.0,52.0,62.0,0.709
0.35,1.072392308729276,-214.8662004080328,-1.0,3,train,26.0,74.0,84.0,50.0,60.0,0.702
0.5,1.072392308729276,-217.1601227652672,-1.0,3,train,24.0,74.0,82.0,44.0,57.99999999999999,0.68
0.0,,,,3,test,26.0,73.0,81.0,50.0,61.0,0.6765
0.001,1.0777392328768498,-221.1030899403892,-1.0,4,train,16.0,62.0,76.0,44.0,57.99999999999999,0.609
0.005,1.0777392328768498,-221.09250749183107,-1.0,4,train,20.0,62.0,76.0,44.0,57.99999999999999,0.612
0.01,1.0777392328768498,-221.08092799722417,-1.0,4,train,20.0,62.0,76.0,44.0,57.99999999999999,0.612
0.05,1.0777392328768498,-221.0525667360992,-1.0,4,train,22.0,66.0,78.0,46.0,56.00000000000001,0.635
0.1,1.0777392328768498,-221.16793100344591,-1.0,4,train,24.0,66.0,78.0,48.0,56.00000000000001,0.645
0.15,1.0777392328768498,-221.43267940566912,-1.0,4,train,22.0,72.0,78.0,48.0,56.00000000000001,0.655
0.25,1.0777392328768498,-222.33572944173338,-1.0,4,train,22.0,68.0,78.0,46.0,56.00000000000001,0.654
0.35,1.0777392328768498,-223.63873253508845,-1.0,4,train,20.0,68.0,78.0,48.0,56.00000000000001,0.642
0.5,1.0777392328768498,-226.17472817631358,-1.0,4,train,18.0,62.0,74.0,46.0,50.0,0.596
0.0,,,,4,test,28.000000000000004,73.0,80.0,51.0,62.0,0.672
0.001,1.0507891689712907,-219.0292982546139,-1.0,5,train,24.0,68.0,82.0,54.0,62.0,0.678
0.005,1.0507891689712907,-219.03662693297895,-1.0,5,train,24.0,68.0,82.0,54.0,62.0,0.678
0.01,1.0507891689712907,-219.0467173708069,-1.0,5,train,24.0,68.0,82.0,54.0,62.0,0.678
0.05,1.0507891689712907,-219.16465194070548,-1.0,5,train,24.0,70.0,82.0,54.0,64.0,0.686
0.1,1.0507891689712907,-219.40430261886306,-1.0,5,train,28.000000000000004,70.0,80.0,48.0,62.0,0.674
0.15,1.0507891689712907,-219.74314524201296,-1.0,5,train,28.000000000000004,70.0,80.0,48.0,62.0,0.673
0.25,1.0507891689712907,-220.6945649001193,-1.0,5,train,30.0,70.0,80.0,50.0,62.0,0.664
0.35,1.0507891689712907,-221.964299063837,-1.0,5,train,28.000000000000004,66.0,80.0,50.0,60.0,0.66
0.5,1.0507891689712907,-224.3569110025633,-1.0,5,train,22.0,64.0,78.0,48.0,57.99999999999999,0.617
0.0,,,,5,test,27.0,71.0,78.0,48.0,56.99999999999999,0.649
0.001,1.0219422886430218,-227.72145784206273,-1.0,6,train,20.0,70.0,80.0,40.0,56.00000000000001,0.64
0.005,1.0219422886430218,-227.71748045044149,-1.0,6,train,20.0,74.0,80.0,40.0,56.00000000000001,0.653
0.01,1.0219422886430218,-227.71356118791743,-1.0,6,train,22.0,74.0,80.0,40.0,56.00000000000001,0.652
0.05,1.0219422886430218,-227.72381580881174,-1.0,6,train,26.0,72.0,80.0,38.0,50.0,0.643
0.1,1.0219422886430218,-227.83852386996003,-1.0,6,train,30.0,76.0,80.0,40.0,54.0,0.666
0.15,1.0219422886430218,-228.06332814421617,-1.0,6,train,30.0,74.0,80.0,40.0,54.0,0.662
0.25,1.0219422886430218,-228.83048782155672,-1.0,6,train,28.000000000000004,74.0,82.0,42.0,60.0,0.672
0.35,1.0219422886430218,-229.99937543959854,-1.0,6,train,30.0,72.0,82.0,42.0,54.0,0.672
0.5,1.0219422886430218,-232.45553654510573,-1.0,6,train,26.0,70.0,78.0,38.0,54.0,0.64
0.0,,,,6,test,23.0,68.0,78.0,52.0,63.0,0.6585
0.001,1.2958530170866134,-229.94410376432296,-1.0,7,train,16.0,64.0,76.0,40.0,52.0,0.595
0.005,1.2958530170866134,-229.91372176689327,-1.0,7,train,16.0,64.0,76.0,40.0,52.0,0.597
0.01,1.2958530170866134,-229.87661925440634,-1.0,7,train,16.0,64.0,76.0,38.0,52.0,0.599
0.05,1.2958530170866134,-229.61508739744863,-1.0,7,train,18.0,64.0,76.0,46.0,60.0,0.629
0.1,1.2958530170866134,-229.3776303289252,-1.0,7,train,20.0,68.0,76.0,48.0,57.99999999999999,0.647
0.15,1.2958530170866134,-229.24102471985148,-1.0,7,train,20.0,72.0,76.0,54.0,57.99999999999999,0.657
0.25,1.2958530170866134,-229.26789381700797,-1.0,7,train,20.0,72.0,76.0,54.0,57.99999999999999,0.661
0.35,1.2958530170866134,-229.66859759442784,-1.0,7,train,18.0,70.0,80.0,50.0,62.0,0.673
0.5,1.2958530170866134,-230.86639197928338,-1.0,7,train,18.0,68.0,82.0,44.0,56.00000000000001,0.65
0.0,,,,7,test,30.0,77.0,85.0,56.99999999999999,69.0,0.731
0.001,1.0811089491728565,-213.7191216359522,-1.0,8,train,32.0,76.0,80.0,62.0,70.0,0.722
0.005,1.0811089491728565,-213.74521067735685,-1.0,8,train,32.0,76.0,80.0,62.0,70.0,0.721
0.01,1.0811089491728565,-213.77889037127545,-1.0,8,train,32.0,76.0,80.0,60.0,70.0,0.72
0.05,1.0811089491728565,-214.08973816243736,-1.0,8,train,32.0,78.0,80.0,54.0,68.0,0.724
0.1,1.0811089491728565,-214.57544263964647,-1.0,8,train,34.0,78.0,82.0,54.0,68.0,0.723
0.15,1.0811089491728565,-215.15913511839955,-1.0,8,train,34.0,78.0,82.0,56.00000000000001,68.0,0.721
