sample,D,k
0.0,0.01,6.0
1.0,0.1,1.5
2.0,0.25,0.5
3.0,0.35,3.5
4.0,0.15,1.5
5.0,0.05,0.75
6.0,0.05,0.75
7.0,0.15,4.0
8.0,0.1,0.5
9.0,0.35,1.5
10.0,0.1,3.0
11.0,0.15,0.5
12.0,0.5,7.0
13.0,0.05,1.0
14.0,0.05,3.0
15.0,0.25,0.75
16.0,0.001,10.0
17.0,0.01,2.0
18.0,0.1,0.5
19.0,0.05,1.0
20.0,0.5,0.5
21.0,0.5,1.0
22.0,0.25,0.5
23.0,0.35,1.5
24.0,0.5,1.0
25.0,0.01,2.0
26.0,0.05,10.0
27.0,0.001,4.5
28.0,0.25,0.5
29.0,0.25,0.75
30.0,0.01,7.0
31.0,0.001,2.0
32.0,0.1,0.5
33.0,0.1,0.75
34.0,0.5,1.5
35.0,0.01,7.0
36.0,0.15,0.5
37.0,0.05,4.5
38.0,0.005,5.5
39.0,0.15,1.0
40.0,0.01,6.0
41.0,0.5,3.5
42.0,0.15,0.75
43.0,0.1,0.5
44.0,0.1,0.25
45.0,0.5,0.25
46.0,0.001,1.5
47.0,0.001,0.25
48.0,0.1,0.5
49.0,0.001,0.25
