D,k,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.001,0.9687836928041448,-14.824877722433076,-8.397798879408025,0,train,9.67741935483871,61.29032258064516,70.96774193548387,38.70967741935484,54.83870967741935,0.567741935483871
0.005,0.9687836928041448,-14.761289305435223,-8.455315248601622,0,train,9.67741935483871,61.29032258064516,70.96774193548387,38.70967741935484,54.83870967741935,0.567741935483871
0.01,0.9687836928041448,-14.668909115121414,-8.524003417212143,0,train,9.67741935483871,61.29032258064516,70.96774193548387,38.70967741935484,51.61290322580645,0.5661290322580645
0.05,0.9687836928041448,-13.948291517256617,-8.862079121235142,0,train,9.67741935483871,64.51612903225806,77.41935483870968,38.70967741935484,48.38709677419355,0.5854838709677419
0.1,0.9687836928041448,-13.745843781606844,-8.729587847102394,0,train,9.67741935483871,58.06451612903226,74.19354838709677,38.70967741935484,48.38709677419355,0.5645161290322581
0.15,0.9687836928041448,-13.493586248084346,-8.512056582919069,0,train,9.67741935483871,54.83870967741935,70.96774193548387,35.483870967741936,48.38709677419355,0.5306451612903226
0.25,0.9687836928041448,-13.146250067730886,-7.989819739497187,0,train,9.67741935483871,58.06451612903226,70.96774193548387,35.483870967741936,48.38709677419355,0.5419354838709678
0.35,0.9687836928041448,-12.64887949179423,-7.418633399530394,0,train,9.67741935483871,58.06451612903226,70.96774193548387,38.70967741935484,48.38709677419355,0.5435483870967742
0.5,0.9687836928041448,-11.605553891392628,-6.402008043376729,0,train,9.67741935483871,54.83870967741935,67.74193548387096,41.935483870967744,48.38709677419355,0.5403225806451613
0.0,,,,0,test,14.000000000000002,52.0,68.0,28.000000000000004,40.0,0.493
0.001,0.9687836928041448,-2.070920145052295,-0.01219516728345058,1,train,16.129032258064516,67.74193548387096,74.19354838709677,41.935483870967744,48.38709677419355,0.6161290322580645
0.005,0.9687836928041448,-2.0285595751853944,-0.060975836417252904,1,train,16.129032258064516,67.74193548387096,74.19354838709677,41.935483870967744,48.38709677419355,0.614516129032258
0.01,0.9687836928041448,-1.9791767629003079,-0.12016772281023705,1,train,16.129032258064516,67.74193548387096,74.19354838709677,41.935483870967744,48.38709677419355,0.6161290322580645
0.05,0.9687836928041448,-1.844409113971881,-0.3877197441929964,1,train,16.129032258064516,70.96774193548387,83.87096774193549,45.16129032258064,54.83870967741935,0.6483870967741936
0.1,0.9687836928041448,-1.7364987645546421,-0.6765427681989469,1,train,16.129032258064516,70.96774193548387,83.87096774193549,45.16129032258064,54.83870967741935,0.6483870967741936
0.15,0.9687836928041448,-1.6688343083687724,-0.8770958653445875,1,train,19.35483870967742,70.96774193548387,90.32258064516128,45.16129032258064,54.83870967741935,0.6806451612903226
0.25,0.9687836928041448,-1.7373130502925196,-1.1320212708262152,1,train,19.35483870967742,77.41935483870968,87.09677419354838,45.16129032258064,54.83870967741935,0.7016129032258065
0.35,0.9687836928041448,-1.8081475149591328,-1.3540834560895503,1,train,19.35483870967742,74.19354838709677,87.09677419354838,45.16129032258064,54.83870967741935,0.7096774193548387
0.5,0.9687836928041448,-1.8072047455531117,-1.6725813097560347,1,train,19.35483870967742,77.41935483870968,87.09677419354838,41.935483870967744,48.38709677419355,0.6887096774193548
0.0,,,,1,test,10.0,56.00000000000001,66.0,28.000000000000004,44.0,0.498
0.001,0.9687836928041448,-13.748687497985005,-0.011557837176102731,2,train,16.129032258064516,54.83870967741935,54.83870967741935,32.25806451612903,41.935483870967744,0.4790322580645161
0.005,0.9687836928041448,-13.68571095448077,-0.05086505809268031,2,train,16.129032258064516,54.83870967741935,54.83870967741935,32.25806451612903,41.935483870967744,0.4790322580645161
0.01,0.9687836928041448,-13.622532632868387,-0.08591006535279126,2,train,19.35483870967742,54.83870967741935,54.83870967741935,32.25806451612903,41.935483870967744,0.482258064516129
0.05,0.9687836928041448,-13.21609482573655,-0.2591581153873456,2,train,19.35483870967742,54.83870967741935,58.06451612903226,35.483870967741936,45.16129032258064,0.5016129032258064
0.1,0.9687836928041448,-12.74704062951552,-0.43651958269735336,2,train,19.35483870967742,58.06451612903226,58.06451612903226,38.70967741935484,45.16129032258064,0.5080645161290323
0.15,0.9687836928041448,-12.218201955761883,-0.5851416266945623,2,train,19.35483870967742,51.61290322580645,58.06451612903226,41.935483870967744,45.16129032258064,0.5048387096774194
0.25,0.9687836928041448,-11.202224869564175,-0.8434347608708891,2,train,19.35483870967742,51.61290322580645,58.06451612903226,41.935483870967744,45.16129032258064,0.5032258064516129
0.35,0.9687836928041448,-10.243197941063075,-1.0597603170915844,2,train,22.58064516129032,51.61290322580645,58.06451612903226,38.70967741935484,41.935483870967744,0.4967741935483871
0.5,0.9687836928041448,-8.626357951217713,-1.2884577371065384,2,train,22.58064516129032,51.61290322580645,61.29032258064516,38.70967741935484,45.16129032258064,0.5096774193548387
0.0,,,,2,test,8.0,62.0,76.0,32.0,50.0,0.564
0.001,0.9687836928041448,-2.3569805306731157,-0.016403570403488995,3,train,12.903225806451612,67.74193548387096,74.19354838709677,29.03225806451613,51.61290322580645,0.5951612903225807
0.005,0.9687836928041448,-2.339454316560864,-0.08053578730541316,3,train,12.903225806451612,67.74193548387096,74.19354838709677,29.03225806451613,51.61290322580645,0.5951612903225807
0.01,0.9687836928041448,-2.3263705438881637,-0.15764556838578295,3,train,12.903225806451612,67.74193548387096,74.19354838709677,29.03225806451613,51.61290322580645,0.5951612903225807
0.05,0.9687836928041448,-2.2430307428989598,-0.6160812150587726,3,train,12.903225806451612,70.96774193548387,74.19354838709677,25.806451612903224,51.61290322580645,0.6096774193548387
0.1,0.9687836928041448,-2.432092137926698,-0.8122347775788533,3,train,16.129032258064516,70.96774193548387,77.41935483870968,29.03225806451613,54.83870967741935,0.6209677419354839
