sample,D,k
0.0,0.005,3.0
1.0,0.001,5.5
2.0,0.01,2.5
3.0,0.05,0.75
4.0,0.05,0.75
5.0,0.005,2.5
6.0,0.15,0.25
7.0,0.1,0.5
8.0,0.01,7.0
9.0,0.01,4.0
10.0,0.001,0.25
11.0,0.005,2.0
12.0,0.01,2.5
13.0,0.01,4.5
14.0,0.01,4.0
15.0,0.005,4.0
16.0,0.001,10.0
17.0,0.01,1.0
18.0,0.05,0.5
19.0,0.005,0.25
20.0,0.1,0.25
21.0,0.05,0.5
22.0,0.01,4.5
23.0,0.001,0.25
24.0,0.01,1.0
25.0,0.005,4.5
26.0,0.05,0.5
27.0,0.01,5.5
28.0,0.001,10.0
29.0,0.1,0.5
30.0,0.001,5.5
31.0,0.15,0.5
32.0,0.1,0.25
33.0,0.001,10.0
34.0,0.005,0.5
35.0,0.005,5.0
36.0,0.001,10.0
37.0,0.005,7.0
38.0,0.15,0.25
39.0,0.01,2.5
40.0,0.005,6.0
41.0,0.001,5.5
42.0,0.005,5.5
43.0,0.001,10.0
44.0,0.1,0.25
45.0,0.005,3.5
46.0,0.05,0.75
47.0,0.01,7.0
48.0,0.35,0.25
49.0,0.001,0.75
