sample,D,k
0.0,0.1,1.0
1.0,0.05,3.5
2.0,0.05,2.5
3.0,0.5,1.0
4.0,0.01,7.0
5.0,0.005,10.0
6.0,0.005,3.0
7.0,0.1,1.0
8.0,0.01,5.5
9.0,0.05,7.0
10.0,0.05,2.5
11.0,0.05,1.0
12.0,0.01,10.0
13.0,0.25,0.25
14.0,0.05,3.0
15.0,0.05,5.0
16.0,0.01,6.0
17.0,0.01,5.0
18.0,0.25,0.75
19.0,0.1,1.0
20.0,0.05,4.0
21.0,0.05,6.0
22.0,0.1,4.5
23.0,0.5,0.75
24.0,0.15,4.5
25.0,0.005,4.5
26.0,0.1,10.0
27.0,0.05,3.0
28.0,0.05,4.5
29.0,0.05,10.0
30.0,0.1,5.5
31.0,0.15,0.25
32.0,0.05,3.0
33.0,0.01,4.5
34.0,0.05,10.0
35.0,0.25,0.25
36.0,0.25,0.25
37.0,0.01,10.0
38.0,0.5,0.5
39.0,0.1,2.0
40.0,0.005,6.0
41.0,0.35,1.0
42.0,0.25,0.75
43.0,0.15,0.25
44.0,0.005,7.0
45.0,0.1,4.0
46.0,0.05,2.5
47.0,0.25,0.25
48.0,0.05,10.0
49.0,0.001,0.25
