D,k,sample,set,top1,top10,top20,top3,top5,topk_auc
0.0,,0,test,3.0,16.0,22.0,8.0,12.0,0.1545
0.0,,0,test,8.0,28.000000000000004,33.0,17.0,23.0,0.2565
0.0,,0,test,16.0,37.0,42.0,27.0,33.0,0.35
0.0,,0,test,23.0,46.0,50.0,35.0,42.0,0.435
0.0,,0,test,28.999999999999996,56.99999999999999,64.0,44.0,52.0,0.547
0.0,,1,test,0.0,21.0,23.0,8.0,11.0,0.172
0.0,,1,test,8.0,33.0,37.0,18.0,22.0,0.2855
0.0,,1,test,14.000000000000002,39.0,44.0,25.0,30.0,0.3525
0.0,,1,test,18.0,51.0,56.99999999999999,37.0,44.0,0.4725
0.0,,1,test,22.0,61.0,67.0,43.0,52.0,0.556
0.0,,2,test,7.000000000000001,23.0,28.000000000000004,13.0,15.0,0.2185
0.0,,2,test,14.000000000000002,27.0,32.0,18.0,19.0,0.26
0.0,,2,test,18.0,34.0,40.0,25.0,26.0,0.3315
0.0,,2,test,23.0,44.0,52.0,35.0,36.0,0.4315
0.0,,2,test,28.999999999999996,56.00000000000001,61.0,45.0,47.0,0.5315
0.0,,3,test,3.0,22.0,23.0,9.0,15.0,0.181
0.0,,3,test,8.0,31.0,35.0,19.0,23.0,0.2775
0.0,,3,test,13.0,43.0,48.0,26.0,33.0,0.389
0.0,,3,test,18.0,53.0,56.99999999999999,33.0,41.0,0.478
0.0,,3,test,23.0,62.0,68.0,42.0,50.0,0.5685
0.0,,4,test,6.0,22.0,25.0,11.0,17.0,0.203
0.0,,4,test,11.0,30.0,32.0,21.0,25.0,0.281
0.0,,4,test,17.0,45.0,48.0,31.0,38.0,0.4165
0.0,,4,test,20.0,53.0,55.00000000000001,37.0,44.0,0.4845
0.0,,4,test,23.0,59.0,62.0,45.0,50.0,0.544
0.0,,5,test,6.0,24.0,27.0,16.0,19.0,0.2225
0.0,,5,test,14.000000000000002,33.0,36.0,27.0,30.0,0.321
0.0,,5,test,22.0,45.0,50.0,39.0,42.0,0.44
0.0,,5,test,28.999999999999996,52.0,57.99999999999999,45.0,48.0,0.511
0.0,,5,test,37.0,64.0,70.0,53.0,56.00000000000001,0.614
0.0,,6,test,3.0,18.0,25.0,6.0,8.0,0.1625
0.0,,6,test,9.0,25.0,33.0,14.000000000000002,17.0,0.2355
0.0,,6,test,17.0,34.0,43.0,24.0,27.0,0.3325
0.0,,6,test,25.0,46.0,55.00000000000001,33.0,36.0,0.443
0.0,,6,test,28.999999999999996,57.99999999999999,65.0,41.0,46.0,0.5425
0.0,,7,test,6.0,33.0,37.0,16.0,23.0,0.2885
0.0,,7,test,10.0,43.0,46.0,24.0,30.0,0.374
0.0,,7,test,18.0,52.0,56.00000000000001,34.0,40.0,0.4645
0.0,,7,test,23.0,62.0,66.0,40.0,48.0,0.5575
