D,k,sample,set,top1,top10,top20,top3,top5,topk_auc
0.0,,0,test,6.0,34.0,40.0,12.0,20.0,0.296
0.0,,0,test,10.0,36.0,42.0,16.0,24.0,0.32
0.0,,0,test,12.0,38.0,46.0,18.0,26.0,0.35
0.0,,0,test,16.0,48.0,57.99999999999999,24.0,34.0,0.44
0.0,,0,test,14.000000000000002,52.0,68.0,28.000000000000004,40.0,0.493
0.0,,1,test,2.0,34.0,38.0,12.0,22.0,0.292
0.0,,1,test,2.0,38.0,46.0,16.0,28.000000000000004,0.344
0.0,,1,test,4.0,48.0,56.00000000000001,20.0,32.0,0.413
0.0,,1,test,8.0,52.0,62.0,24.0,40.0,0.461
0.0,,1,test,10.0,56.00000000000001,66.0,28.000000000000004,44.0,0.498
0.0,,2,test,2.0,30.0,34.0,8.0,14.000000000000002,0.249
0.0,,2,test,4.0,38.0,44.0,12.0,22.0,0.321
0.0,,2,test,4.0,44.0,52.0,16.0,30.0,0.382
0.0,,2,test,8.0,56.00000000000001,64.0,26.0,46.0,0.497
0.0,,2,test,8.0,62.0,76.0,32.0,50.0,0.564
0.0,,3,test,4.0,28.000000000000004,32.0,14.000000000000002,22.0,0.254
0.0,,3,test,6.0,26.0,34.0,14.000000000000002,18.0,0.244
0.0,,3,test,8.0,30.0,42.0,16.0,26.0,0.301
0.0,,3,test,10.0,40.0,56.00000000000001,24.0,36.0,0.397
0.0,,3,test,12.0,50.0,66.0,34.0,44.0,0.491
0.0,,4,test,4.0,36.0,40.0,14.000000000000002,20.0,0.309
0.0,,4,test,6.0,44.0,48.0,24.0,30.0,0.381
0.0,,4,test,6.0,50.0,56.00000000000001,24.0,34.0,0.431
0.0,,4,test,10.0,56.00000000000001,64.0,34.0,44.0,0.504
0.0,,4,test,12.0,57.99999999999999,72.0,36.0,48.0,0.546
0.0,,5,test,4.0,30.0,36.0,12.0,20.0,0.266
0.0,,5,test,4.0,30.0,42.0,14.000000000000002,22.0,0.289
0.0,,5,test,4.0,36.0,48.0,16.0,28.000000000000004,0.332
0.0,,5,test,8.0,46.0,60.0,20.0,32.0,0.426
0.0,,5,test,10.0,56.00000000000001,70.0,28.000000000000004,42.0,0.517
0.0,,6,test,0.0,30.0,32.0,10.0,18.0,0.248
0.0,,6,test,0.0,34.0,38.0,10.0,22.0,0.28
0.0,,6,test,0.0,38.0,50.0,14.000000000000002,28.000000000000004,0.339
0.0,,6,test,2.0,42.0,54.0,16.0,30.0,0.372
0.0,,6,test,6.0,50.0,66.0,24.0,40.0,0.462
0.0,,7,test,4.0,32.0,36.0,14.000000000000002,20.0,0.281
0.0,,7,test,8.0,40.0,42.0,18.0,30.0,0.346
0.0,,7,test,8.0,44.0,48.0,18.0,34.0,0.38
