D,k,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.001,0.9687836928041448,-151.678480433471,-1.0,0,train,9.67741935483871,61.29032258064516,70.96774193548387,35.483870967741936,54.83870967741935,0.5629032258064516
0.005,0.9687836928041448,-151.6547690090243,-1.0,0,train,9.67741935483871,61.29032258064516,70.96774193548387,35.483870967741936,54.83870967741935,0.5629032258064516
0.01,0.9687836928041448,-151.6263367696372,-1.0,0,train,6.451612903225806,61.29032258064516,74.19354838709677,35.483870967741936,51.61290322580645,0.5629032258064516
0.05,0.9687836928041448,-151.4468196821554,-1.0,0,train,6.451612903225806,64.51612903225806,77.41935483870968,35.483870967741936,51.61290322580645,0.5854838709677419
0.1,0.9687836928041448,-151.33854264398622,-1.0,0,train,6.451612903225806,67.74193548387096,83.87096774193549,32.25806451612903,48.38709677419355,0.6048387096774194
0.15,0.9687836928041448,-151.35013835549242,-1.0,0,train,6.451612903225806,64.51612903225806,83.87096774193549,32.25806451612903,48.38709677419355,0.6016129032258064
0.25,0.9687836928041448,-151.6956151652904,-1.0,0,train,6.451612903225806,61.29032258064516,74.19354838709677,35.483870967741936,48.38709677419355,0.5661290322580645
0.35,0.9687836928041448,-152.436454682823,-1.0,0,train,6.451612903225806,58.06451612903226,70.96774193548387,35.483870967741936,51.61290322580645,0.5435483870967742
0.5,0.9687836928041448,-154.3042731393787,-1.0,0,train,9.67741935483871,54.83870967741935,67.74193548387096,29.03225806451613,48.38709677419355,0.5258064516129032
0.0,,,,0,test,14.000000000000002,52.0,68.0,28.000000000000004,40.0,0.493
0.001,0.9687836928041448,-143.02744410458612,-1.0,1,train,16.129032258064516,61.29032258064516,70.96774193548387,41.935483870967744,48.38709677419355,0.5887096774193549
0.005,0.9687836928041448,-143.02937304159008,-1.0,1,train,16.129032258064516,64.51612903225806,70.96774193548387,41.935483870967744,51.61290322580645,0.6016129032258064
0.01,0.9687836928041448,-143.03327665394568,-1.0,1,train,16.129032258064516,64.51612903225806,70.96774193548387,41.935483870967744,51.61290322580645,0.6016129032258064
0.05,0.9687836928041448,-143.12258573239885,-1.0,1,train,16.129032258064516,67.74193548387096,70.96774193548387,41.935483870967744,51.61290322580645,0.6
0.1,0.9687836928041448,-143.36993994706097,-1.0,1,train,16.129032258064516,67.74193548387096,74.19354838709677,41.935483870967744,48.38709677419355,0.617741935483871
