sample,perc,D,k
0,100,0.35,1.057095276242629
1,100,0.1,1.3384000668822948
2,100,0.1,1.0841709830252952
3,100,0.25,1.072392308729276
4,100,0.25,1.0777392328768498
5,100,0.05,1.0507891689712907
6,100,0.1,1.0219422886430218
7,100,0.35,1.2958530170866134
8,100,0.05,1.0811089491728565
9,100,0.35,1.0090002876211834
10,100,0.15,1.012871547429889
11,100,0.15,1.1398720590406661
12,100,0.25,1.0759147570561038
13,100,0.15,1.059963514907302
14,100,0.5,1.1236315344231027
15,100,0.01,1.0417550030896354
16,100,0.1,1.0673144906118872
17,100,0.25,1.0402527863558402
18,100,0.35,1.0181301180221352
19,100,0.35,1.0400804349519543
20,100,0.5,1.008571654994191
21,100,0.35,1.0332050443095633
22,100,0.25,1.0835268158167466
23,100,0.05,1.3475969219904365
24,100,0.15,1.0479515951788465
25,100,0.35,1.075635249499984
26,100,0.1,1.3139017228948229
27,100,0.25,1.0088018829460748
28,100,0.5,1.0384054621130414
29,100,0.25,1.101324543240178
30,100,0.25,1.025955141190288
31,100,0.05,1.031863722345184
32,100,0.15,1.0780593412754131
33,100,0.25,1.0613114920205469
34,100,0.25,1.0013161937815969
35,100,0.25,1.0850838850521418
36,100,0.5,1.0621641530591148
37,100,0.15,1.0333154145241337
38,100,0.25,1.072960336138956
39,100,0.15,1.0574824785120405
40,100,0.35,1.0756325022635032
41,100,0.1,1.0983272765091938
42,100,0.25,1.0304593397694521
43,100,0.15,1.065021685664981
44,100,0.1,1.0151178062343629
45,100,0.25,1.0423807220040195
46,100,0.35,1.37981338067546
47,100,0.1,1.0670281359555096
48,100,0.35,1.079889991792029
49,100,0.25,1.0469649164598391
50,100,0.25,1.035695981871925
51,100,0.15,1.0733105291581646
52,100,0.5,1.0672914586851356
53,100,0.1,1.1014062841831684
54,100,0.05,1.085522360079225
55,100,0.05,1.0938254987006484
56,100,0.25,1.0753286762214385
57,100,0.1,1.0584620309115294
58,100,0.15,1.0920975629829308
59,100,0.05,1.0103783099630317
60,100,0.05,1.0975105804375014
61,100,0.25,1.0375161494668481
62,100,0.25,1.0505477580035385
63,100,0.15,1.0330771319703322
64,100,0.05,1.0656572873627808
65,100,0.1,1.0307523905024274
66,100,0.1,1.0268031696566151
67,100,0.25,1.0555551620240051
68,100,0.1,1.0707128189201107
69,100,0.15,1.0323754270761576
70,100,0.25,1.0072520755138328
71,100,0.5,1.0142286293811642
72,100,0.25,0.9980870824038104
73,100,0.25,1.030730475343589
74,100,0.25,1.0589416725280651
75,100,0.25,1.3747659849282912
76,100,0.25,1.0347897792654333
77,100,0.35,1.3537847939809269
78,100,0.25,1.069919453593326
79,100,0.15,1.0543237879539002
80,100,0.25,1.045517772294254
81,100,0.5,0.992402369123403
82,100,0.15,1.0189364301004074
83,100,0.15,1.0741023803354104
84,100,0.15,1.0308360293829455
85,100,0.35,1.2663601182378779
86,100,0.15,1.078448579317741
87,100,0.15,1.0637507240399702
88,100,0.35,1.010776622200839
89,100,0.25,1.0341863912969682
90,100,0.05,0.9904019610354684
91,100,0.5,1.05325197311961
92,100,0.15,1.0015085821789298
93,100,0.35,1.0810430599834022
94,100,0.35,1.1409106915200276
95,100,0.1,1.1026423378570749
96,100,0.35,1.0114381147287757
97,100,0.25,1.046770952918574
98,100,0.1,1.0231094918041777
99,100,0.5,1.0603894809142225
