sample,D,k
0.0,0.05,2.0
1.0,0.005,10.0
2.0,0.05,2.5
3.0,0.05,3.0
4.0,0.1,1.0
5.0,0.05,2.0
6.0,0.05,4.5
7.0,0.01,10.0
8.0,0.05,4.5
9.0,0.01,10.0
10.0,0.001,4.5
11.0,0.05,2.5
12.0,0.1,7.0
13.0,0.05,3.0
14.0,0.01,7.0
15.0,0.01,10.0
16.0,0.01,10.0
17.0,0.01,10.0
18.0,0.05,3.5
19.0,0.15,0.75
20.0,0.15,0.75
21.0,0.001,1.5
22.0,0.05,4.0
23.0,0.05,2.0
24.0,0.01,7.0
25.0,0.05,4.0
26.0,0.05,3.0
27.0,0.005,4.5
28.0,0.05,2.5
29.0,0.05,6.0
30.0,0.05,2.0
31.0,0.05,3.0
32.0,0.001,2.0
33.0,0.01,10.0
34.0,0.05,2.5
35.0,0.05,3.0
36.0,0.001,5.5
37.0,0.35,0.25
38.0,0.05,7.0
39.0,0.25,1.0
40.0,0.1,1.0
41.0,0.05,6.0
42.0,0.01,4.5
43.0,0.05,2.5
44.0,0.05,1.5
45.0,0.005,7.0
46.0,0.001,0.5
47.0,0.05,5.0
48.0,0.05,1.5
49.0,0.05,2.5
