D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.0,,,,,0.0,test,0.0,2.666666666666667,2.666666666666667,0.0,1.3333333333333335,0.02
0.0,,,,,0.0,test,1.3333333333333335,14.666666666666666,18.666666666666668,6.666666666666667,9.333333333333334,0.13533333333333333
0.0,,,,,0.0,test,2.666666666666667,21.333333333333336,26.666666666666668,9.333333333333334,14.666666666666666,0.196
0.0,,,,,0.0,test,8.0,34.66666666666667,42.66666666666667,18.666666666666668,25.333333333333336,0.32266666666666666
0.0,,,,,0.0,test,9.333333333333334,45.33333333333333,56.00000000000001,22.666666666666664,33.33333333333333,0.42333333333333334
0.0,,,,,1.0,test,0.0,4.0,9.333333333333334,0.0,2.666666666666667,0.048
0.0,,,,,1.0,test,1.3333333333333335,16.0,28.000000000000004,5.333333333333334,12.0,0.178
0.0,,,,,1.0,test,1.3333333333333335,26.666666666666668,40.0,12.0,20.0,0.26666666666666666
0.0,,,,,1.0,test,6.666666666666667,38.666666666666664,52.0,21.333333333333336,30.666666666666664,0.38
0.0,,,,,1.0,test,10.666666666666668,50.66666666666667,64.0,29.333333333333332,41.333333333333336,0.49266666666666664
0.0,,,,,2.0,test,0.0,1.3333333333333335,6.666666666666667,0.0,0.0,0.024666666666666667
0.0,,,,,2.0,test,2.666666666666667,12.0,18.666666666666668,5.333333333333334,9.333333333333334,0.12133333333333333
0.0,,,,,2.0,test,8.0,26.666666666666668,32.0,13.333333333333334,20.0,0.248
0.0,,,,,2.0,test,9.333333333333334,33.33333333333333,42.66666666666667,14.666666666666666,26.666666666666668,0.31466666666666665
0.0,,,,,2.0,test,10.666666666666668,41.333333333333336,50.66666666666667,18.666666666666668,32.0,0.38333333333333336
0.0,,,,,3.0,test,0.0,2.666666666666667,5.333333333333334,0.0,1.3333333333333335,0.027333333333333334
0.0,,,,,3.0,test,2.666666666666667,12.0,21.333333333333336,4.0,9.333333333333334,0.14133333333333334
0.0,,,,,3.0,test,5.333333333333334,24.0,33.33333333333333,10.666666666666668,20.0,0.24333333333333335
0.0,,,,,3.0,test,12.0,34.66666666666667,44.0,18.666666666666668,29.333333333333332,0.3446666666666667
0.0,,,,,3.0,test,13.333333333333334,45.33333333333333,56.00000000000001,26.666666666666668,38.666666666666664,0.44533333333333336
0.0,,,,,4.0,test,0.0,4.0,9.333333333333334,0.0,2.666666666666667,0.044
0.0,,,,,4.0,test,0.0,14.666666666666666,21.333333333333336,5.333333333333334,12.0,0.14133333333333334
0.0,,,,,4.0,test,2.666666666666667,26.666666666666668,36.0,10.666666666666668,21.333333333333336,0.258
0.0,,,,,4.0,test,6.666666666666667,37.333333333333336,45.33333333333333,22.666666666666664,32.0,0.3546666666666667
0.0,,,,,4.0,test,9.333333333333334,50.66666666666667,62.66666666666667,30.666666666666664,42.66666666666667,0.48733333333333334
0.0,,,,,5.0,test,0.0,1.3333333333333335,8.0,0.0,1.3333333333333335,0.028666666666666667
0.0,,,,,5.0,test,1.3333333333333335,13.333333333333334,18.666666666666668,4.0,8.0,0.12466666666666666
0.0,,,,,5.0,test,2.666666666666667,22.666666666666664,32.0,9.333333333333334,14.666666666666666,0.21933333333333332
0.0,,,,,5.0,test,4.0,33.33333333333333,42.66666666666667,17.333333333333336,24.0,0.31266666666666665
0.0,,,,,5.0,test,9.333333333333334,44.0,56.00000000000001,28.000000000000004,34.66666666666667,0.424
