D,k,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.05,1.0507891689712907,-5.606701535518413,-0.5423500197979397,5,train,20.0,66.0,78.0,48.0,57.99999999999999,0.643
0.1,1.0507891689712907,-5.471995279617296,-0.8911490537437894,5,train,20.0,64.0,78.0,48.0,56.00000000000001,0.632
0.15,1.0507891689712907,-5.3194734813599736,-1.1960693854961002,5,train,26.0,64.0,78.0,46.0,56.00000000000001,0.638
0.25,1.0507891689712907,-5.024360956742093,-1.7211467091437211,5,train,24.0,64.0,74.0,44.0,54.0,0.615
0.35,1.0507891689712907,-5.33981239239692,-1.9959395316095525,5,train,20.0,64.0,72.0,44.0,56.00000000000001,0.606
0.5,1.0507891689712907,-5.589598520418246,-2.243915573133223,5,train,16.0,62.0,68.0,44.0,56.00000000000001,0.58
0.0,,,,5,test,27.0,71.0,78.0,48.0,56.99999999999999,0.649
0.001,1.0219422886430218,-4.831143489358244,-0.03889364763956923,6,train,20.0,68.0,78.0,42.0,57.99999999999999,0.637
0.005,1.0219422886430218,-4.721843757742277,-0.18871985869805907,6,train,22.0,72.0,78.0,42.0,56.00000000000001,0.648
0.01,1.0219422886430218,-4.59350064184242,-0.3718815273672278,6,train,22.0,72.0,78.0,42.0,56.00000000000001,0.65
0.05,1.0219422886430218,-4.2368193033405825,-1.1458515717165103,6,train,20.0,72.0,78.0,44.0,54.0,0.655
0.1,1.0219422886430218,-4.286778676849665,-1.5801359894885645,6,train,20.0,72.0,78.0,44.0,56.00000000000001,0.658
0.15,1.0219422886430218,-4.355755510100163,-1.9384879299749027,6,train,28.000000000000004,72.0,76.0,46.0,57.99999999999999,0.657
0.25,1.0219422886430218,-4.645015932329674,-2.380895078395278,6,train,28.000000000000004,68.0,76.0,46.0,57.99999999999999,0.65
0.35,1.0219422886430218,-5.0470021090367725,-2.66717124726611,6,train,24.0,70.0,76.0,42.0,57.99999999999999,0.645
0.5,1.0219422886430218,-5.480101371997202,-2.941318856779272,6,train,22.0,70.0,76.0,38.0,52.0,0.628
0.0,,,,6,test,23.0,68.0,78.0,52.0,63.0,0.6585
0.001,1.2958530170866134,-6.345640885048431,-0.01708399661755935,7,train,18.0,62.0,76.0,40.0,54.0,0.597
0.005,1.2958530170866134,-6.312918239002929,-0.06851220706356831,7,train,20.0,62.0,76.0,40.0,54.0,0.6
0.01,1.2958530170866134,-6.273511929850257,-0.13144130389115977,7,train,20.0,64.0,76.0,40.0,56.00000000000001,0.604
0.05,1.2958530170866134,-5.978524535671312,-0.5372985250383374,7,train,22.0,62.0,74.0,42.0,60.0,0.614
0.1,1.2958530170866134,-5.802775126992087,-0.8635376843414234,7,train,22.0,66.0,74.0,40.0,62.0,0.632
0.15,1.2958530170866134,-5.5795042435154025,-1.0971377119004753,7,train,22.0,68.0,74.0,42.0,64.0,0.64
0.25,1.2958530170866134,-5.233028150452979,-1.4250511877256984,7,train,24.0,72.0,74.0,44.0,60.0,0.642
0.35,1.2958530170866134,-4.900240827048923,-1.6286387185897484,7,train,24.0,70.0,74.0,46.0,60.0,0.639
0.5,1.2958530170866134,-4.48483069555548,-1.776571005390408,7,train,16.0,68.0,74.0,48.0,60.0,0.63
0.0,,,,7,test,30.0,77.0,85.0,56.99999999999999,69.0,0.731
0.001,1.0811089491728565,-3.468548671853302,-0.024545604207005495,8,train,30.0,78.0,80.0,62.0,72.0,0.729
0.005,1.0811089491728565,-3.449717539931149,-0.11325387387761893,8,train,32.0,78.0,80.0,60.0,72.0,0.729
0.01,1.0811089491728565,-3.4567246577882704,-0.19704420522283989,8,train,30.0,78.0,80.0,60.0,72.0,0.726
0.05,1.0811089491728565,-3.6373137958347703,-0.6505338673082269,8,train,30.0,78.0,80.0,57.99999999999999,70.0,0.718
0.1,1.0811089491728565,-3.6281113600891857,-1.174893314245026,8,train,30.0,78.0,82.0,57.99999999999999,68.0,0.726
0.15,1.0811089491728565,-3.869108584241759,-1.589894832306556,8,train,30.0,80.0,82.0,57.99999999999999,68.0,0.722
0.25,1.0811089491728565,-4.440619366919613,-2.271108920434635,8,train,28.000000000000004,78.0,80.0,50.0,64.0,0.695
0.35,1.0811089491728565,-4.845775500263903,-2.8872120410329583,8,train,28.000000000000004,76.0,76.0,48.0,62.0,0.682
