D,k,sample,set,top1,top10,top20,top3,top5,topk_auc
0.0,,0,test,0.0,26.153846153846157,29.230769230769234,10.76923076923077,13.846153846153847,0.21923076923076923
0.0,,0,test,3.076923076923077,36.92307692307693,44.61538461538462,18.461538461538463,21.53846153846154,0.3261538461538461
0.0,,0,test,6.153846153846154,47.69230769230769,58.46153846153847,24.615384615384617,30.76923076923077,0.42846153846153845
0.0,,0,test,15.384615384615385,58.46153846153847,70.76923076923077,35.38461538461539,41.53846153846154,0.5407692307692308
0.0,,0,test,18.461538461538463,69.23076923076923,81.53846153846153,44.61538461538462,52.307692307692314,0.6446153846153846
0.0,,1,test,6.153846153846154,29.230769230769234,35.38461538461539,20.0,23.076923076923077,0.2815384615384615
0.0,,1,test,12.307692307692308,38.46153846153847,47.69230769230769,26.153846153846157,27.692307692307693,0.36846153846153845
0.0,,1,test,16.923076923076923,43.07692307692308,49.23076923076923,29.230769230769234,32.30769230769231,0.4023076923076923
0.0,,1,test,24.615384615384617,53.84615384615385,60.0,38.46153846153847,44.61538461538462,0.51
0.0,,1,test,29.230769230769234,69.23076923076923,76.92307692307693,47.69230769230769,55.38461538461539,0.6446153846153846
0.0,,2,test,9.230769230769232,33.84615384615385,38.46153846153847,23.076923076923077,24.615384615384617,0.3192307692307692
0.0,,2,test,15.384615384615385,49.23076923076923,53.84615384615385,30.76923076923077,38.46153846153847,0.4553846153846154
0.0,,2,test,18.461538461538463,56.92307692307692,61.53846153846154,33.84615384615385,47.69230769230769,0.5315384615384615
0.0,,2,test,20.0,64.61538461538461,70.76923076923077,41.53846153846154,58.46153846153847,0.6115384615384616
0.0,,2,test,23.076923076923077,70.76923076923077,80.0,46.15384615384615,63.07692307692307,0.6761538461538461
0.0,,3,test,4.615384615384616,21.53846153846154,23.076923076923077,13.846153846153847,15.384615384615385,0.19153846153846155
0.0,,3,test,9.230769230769232,24.615384615384617,29.230769230769234,15.384615384615385,18.461538461538463,0.24076923076923076
0.0,,3,test,12.307692307692308,36.92307692307693,41.53846153846154,24.615384615384617,27.692307692307693,0.3507692307692308
0.0,,3,test,13.846153846153847,53.84615384615385,61.53846153846154,33.84615384615385,41.53846153846154,0.5007692307692307
0.0,,3,test,16.923076923076923,63.07692307692307,72.3076923076923,44.61538461538462,50.76923076923077,0.5984615384615385
0.0,,4,test,4.615384615384616,18.461538461538463,20.0,13.846153846153847,15.384615384615385,0.17153846153846153
0.0,,4,test,7.6923076923076925,30.76923076923077,32.30769230769231,24.615384615384617,27.692307692307693,0.28615384615384615
0.0,,4,test,9.230769230769232,43.07692307692308,47.69230769230769,32.30769230769231,36.92307692307693,0.4015384615384615
0.0,,4,test,12.307692307692308,49.23076923076923,56.92307692307692,33.84615384615385,41.53846153846154,0.46692307692307694
0.0,,4,test,20.0,67.6923076923077,75.38461538461539,47.69230769230769,60.0,0.6353846153846154
0.0,,5,test,7.6923076923076925,27.692307692307693,35.38461538461539,16.923076923076923,21.53846153846154,0.2692307692307692
0.0,,5,test,10.76923076923077,35.38461538461539,41.53846153846154,20.0,26.153846153846157,0.32846153846153847
0.0,,5,test,16.923076923076923,46.15384615384615,50.76923076923077,27.692307692307693,38.46153846153847,0.4269230769230769
0.0,,5,test,18.461538461538463,60.0,64.61538461538461,38.46153846153847,50.76923076923077,0.553076923076923
0.0,,5,test,23.076923076923077,70.76923076923077,75.38461538461539,43.07692307692308,58.46153846153847,0.6507692307692308
0.0,,6,test,4.615384615384616,24.615384615384617,30.76923076923077,10.76923076923077,16.923076923076923,0.22615384615384615
0.0,,6,test,9.230769230769232,35.38461538461539,41.53846153846154,16.923076923076923,23.076923076923077,0.3176923076923077
0.0,,6,test,12.307692307692308,49.23076923076923,53.84615384615385,26.153846153846157,33.84615384615385,0.43153846153846154
0.0,,6,test,15.384615384615385,56.92307692307692,64.61538461538461,35.38461538461539,43.07692307692308,0.5261538461538462
0.0,,6,test,20.0,72.3076923076923,78.46153846153847,41.53846153846154,56.92307692307692,0.6553846153846153
0.0,,7,test,6.153846153846154,26.153846153846157,32.30769230769231,18.461538461538463,21.53846153846154,0.2592307692307692
0.0,,7,test,9.230769230769232,35.38461538461539,44.61538461538462,26.153846153846157,32.30769230769231,0.3546153846153846
0.0,,7,test,15.384615384615385,47.69230769230769,55.38461538461539,33.84615384615385,44.61538461538462,0.4576923076923077
0.0,,7,test,18.461538461538463,58.46153846153847,66.15384615384615,41.53846153846154,53.84615384615385,0.5546153846153846
0.0,,7,test,20.0,64.61538461538461,73.84615384615385,46.15384615384615,60.0,0.6153846153846154
0.0,,8,test,7.6923076923076925,26.153846153846157,32.30769230769231,16.923076923076923,21.53846153846154,0.2553846153846154
0.0,,8,test,10.76923076923077,36.92307692307693,41.53846153846154,23.076923076923077,32.30769230769231,0.3446153846153846
0.0,,8,test,15.384615384615385,46.15384615384615,49.23076923076923,29.230769230769234,41.53846153846154,0.4238461538461539
0.0,,8,test,20.0,56.92307692307692,60.0,35.38461538461539,50.76923076923077,0.5192307692307693
0.0,,8,test,23.076923076923077,67.6923076923077,73.84615384615385,47.69230769230769,61.53846153846154,0.6415384615384615
0.0,,9,test,1.5384615384615385,24.615384615384617,30.76923076923077,10.76923076923077,16.923076923076923,0.2246153846153846
0.0,,9,test,6.153846153846154,33.84615384615385,40.0,18.461538461538463,26.153846153846157,0.30846153846153845
0.0,,9,test,9.230769230769232,46.15384615384615,53.84615384615385,24.615384615384617,33.84615384615385,0.4169230769230769
