sample,perc,D,k
0,100,0.5,3.0
1,100,0.1,0.5
2,100,0.15,2.5
3,100,0.15,5.0
4,100,0.25,1.5
5,100,0.15,2.0
6,100,0.1,5.5
7,100,0.05,5.0
8,100,0.15,4.0
9,100,0.1,3.5
10,100,0.05,5.0
11,100,0.1,2.0
12,100,0.5,0.5
13,100,0.25,2.5
14,100,0.15,7.0
15,100,0.5,7.0
16,100,0.15,2.0
17,100,0.05,3.0
18,100,0.1,6.0
19,100,0.1,4.5
20,100,0.05,7.0
21,100,0.15,10.0
22,100,0.25,3.0
23,100,0.15,1.0
24,100,0.05,10.0
25,100,0.1,7.0
26,100,0.5,2.5
27,100,0.05,1.5
28,100,0.5,5.0
29,100,0.25,3.0
30,100,0.25,10.0
31,100,0.05,6.0
32,100,0.01,10.0
33,100,0.25,4.5
34,100,0.25,1.0
35,100,0.15,7.0
36,100,0.005,1.5
37,100,0.5,2.0
38,100,0.5,5.5
39,100,0.35,1.0
40,100,0.25,0.75
41,100,0.05,5.0
42,100,0.1,6.0
43,100,0.5,10.0
44,100,0.1,2.0
45,100,0.01,4.0
46,100,0.05,10.0
47,100,0.1,2.5
48,100,0.05,5.0
49,100,0.25,1.0
