sample,D
0.0,0.35
1.0,0.25
2.0,0.25
3.0,0.1
4.0,0.35
5.0,0.25
6.0,0.35
7.0,0.15
8.0,0.001
9.0,0.25
10.0,0.25
11.0,0.25
12.0,0.25
13.0,0.25
14.0,0.25
15.0,0.35
16.0,0.25
17.0,0.35
18.0,0.35
19.0,0.25
20.0,0.25
21.0,0.1
22.0,0.35
23.0,0.25
24.0,0.1
25.0,0.25
26.0,0.25
27.0,0.25
28.0,0.15
29.0,0.25
30.0,0.15
31.0,0.35
32.0,0.25
33.0,0.35
34.0,0.1
35.0,0.35
36.0,0.25
37.0,0.001
38.0,0.25
39.0,0.1
40.0,0.35
41.0,0.25
42.0,0.25
43.0,0.25
44.0,0.35
45.0,0.35
46.0,0.25
47.0,0.35
48.0,0.25
49.0,0.25
