sample,D,k
0.0,0.05,7.0
1.0,0.25,0.5
2.0,0.05,3.5
3.0,0.1,1.5
4.0,0.05,7.0
5.0,0.5,0.5
6.0,0.15,2.5
7.0,0.15,2.5
8.0,0.15,0.25
9.0,0.1,3.0
10.0,0.5,0.25
11.0,0.1,10.0
12.0,0.15,3.5
13.0,0.05,3.0
14.0,0.5,1.0
15.0,0.05,4.0
16.0,0.5,0.25
17.0,0.15,2.5
18.0,0.05,4.0
19.0,0.1,3.0
20.0,0.5,0.5
21.0,0.05,6.0
22.0,0.05,3.5
23.0,0.01,6.0
24.0,0.01,7.0
25.0,0.1,4.0
26.0,0.15,1.0
27.0,0.1,3.0
28.0,0.05,3.0
29.0,0.01,6.0
30.0,0.05,5.5
31.0,0.01,7.0
32.0,0.05,3.5
33.0,0.5,0.75
34.0,0.05,2.5
35.0,0.05,7.0
36.0,0.5,0.25
37.0,0.05,4.0
38.0,0.35,1.5
39.0,0.05,10.0
40.0,0.1,7.0
41.0,0.25,1.0
42.0,0.05,5.0
43.0,0.05,7.0
44.0,0.05,3.0
45.0,0.05,5.5
46.0,0.35,0.5
47.0,0.5,0.5
48.0,0.05,5.5
49.0,0.1,6.0
50.0,0.25,1.0
51.0,0.25,1.0
52.0,0.15,7.0
53.0,0.15,2.0
54.0,0.01,4.0
55.0,0.05,5.5
56.0,0.25,1.0
57.0,0.01,10.0
58.0,0.05,3.5
59.0,0.05,3.5
60.0,0.05,2.0
61.0,0.25,2.5
62.0,0.15,1.5
63.0,0.15,3.0
64.0,0.25,1.0
65.0,0.1,4.0
66.0,0.05,10.0
67.0,0.05,3.0
68.0,0.05,5.5
69.0,0.35,2.0
70.0,0.25,0.75
71.0,0.05,4.0
72.0,0.05,4.5
73.0,0.05,10.0
74.0,0.25,1.0
75.0,0.1,3.0
76.0,0.25,0.75
77.0,0.25,0.75
78.0,0.35,0.75
79.0,0.05,4.0
80.0,0.05,10.0
81.0,0.15,5.5
82.0,0.05,3.0
83.0,0.25,1.5
84.0,0.15,0.75
85.0,0.15,1.5
86.0,0.005,7.0
87.0,0.25,1.0
88.0,0.5,0.25
89.0,0.05,6.0
90.0,0.01,7.0
91.0,0.05,6.0
92.0,0.1,5.0
93.0,0.5,0.25
94.0,0.05,3.0
95.0,0.01,10.0
96.0,0.1,5.0
97.0,0.25,1.0
98.0,0.15,2.5
99.0,0.15,5.5
