Score,MonoisotopicMass,SMILES,InChIKey,RetentionTimeScore_Values,NoExplPeaks,NumberPeaksUsed,InChI,MaximumTreeDepth,Identifier,ExplPeaks,InChIKey3,InChIKey2,InChIKey1,FragmenterScore,MolecularFormula,RetentionTimeScore,FragmenterScore_Values,FormulasOfExplPeaks
1.9810795884144128,187.074554,C1=CC=C(C=C1)CN2C=C(C=O)N=N2,ALDKNJUWVSEOOT-UHFFFAOYSA-N,1.57951;1.379;0.20051,20,21,"InChI=1S/C10H9N3O/c14-8-10-7-13(12-11-10)6-9-4-2-1-3-5-9/h1-5,7-8H,6H2",2,10242003,53.03852_55.0;57.0447285714286_93.0;65.0386_116.0;77.0386_884.0;81.03345_12.0;85.0396545454545_17.0;91.0542714285714_123.0;92.0494875_377.0;95.04925_112.0;103.041733333333_15.0;104.049541666667_999.0;105.044757142857_271.0;110.060033333333_7.0;119.060475_631.0;130.04005_11.0;130.0652_49.0;131.07295_24.0;142.0652_9.0;147.0554_3.0;160.087069230769_999.0,N,UHFFFAOYSA,ALDKNJUWVSEOOT,444.4644797970281,C10H9N3O,0.26359582764985046,1224.0;1469.0;1224.0;348.0;696.0;1323.0;305.0;2245.0;1091.0;2445.0;1122.0;2345.0;2446.0;1022.0;1772.0;1370.0;1370.0;1865.0;2042.0;448.0,53.03852:[C4H4]+H+;57.0447285714286:[C2H3N2+H]+H+;65.0386:[C5H5]+;77.0386:[C6H5]+;81.03345:[C3H3N3]+;85.0396545454545:[C3H2N2O+2H]+H+;91.0542714285714:[C7H7]+;92.0494875:[C6H6N]+;95.04925:[C4H4N3]+H+;103.041733333333:[C7H7N-2H]+;104.049541666667:[C7H7N-H]+;105.044757142857:[C6H6N2-H]+;110.060033333333:[C6H5NO+2H]+H+;119.060475:[C7H7N2]+;130.04005:[C7H6N3-2H]+;130.0652:[C9H8N]+;131.07295:[C9H8N]+H+;142.0652:[C10H9N-H]+;147.0554:[C8H7N2O]+;160.087069230769:[C9H8N3+H]+H+
1.978203835817028,187.074554,CN1C(C=NC(C2=CC=CC=C2)=N1)=O,SZOHHAIPHMCFKM-UHFFFAOYSA-N,1.57951;1.605;0.02549,18,21,"InChI=1S/C10H9N3O/c1-13-9(14)7-11-10(12-13)8-5-3-2-4-6-8/h2-7H,1H3",2,9312971,53.03852_55.0;57.0447285714286_93.0;65.0386_116.0;77.0386_884.0;81.03345_12.0;85.0396545454545_17.0;91.0542714285714_123.0;92.0494875_377.0;95.04925_112.0;103.041733333333_15.0;104.049541666667_999.0;105.044757142857_271.0;119.060475_631.0;130.04005_11.0;130.0652_49.0;131.07295_24.0;147.0554_3.0;160.087069230769_999.0,N,UHFFFAOYSA,SZOHHAIPHMCFKM,439.244673564659,C10H9N3O,0.2659231346991992,1224.0;1058.0;1224.0;348.0;1101.0;468.0;1018.0;1792.0;1091.0;468.0;468.0;1735.0;876.0;1323.0;1761.0;1861.0;1058.0;653.0,53.03852:[C4H4]+H+;57.0447285714286:[C2H3N2+H]+H+;65.0386:[C5H5]+;77.0386:[C6H5]+;81.03345:[C3H4N3-H]+;85.0396545454545:[C3H4N2O]+H+;91.0542714285714:[C7H5+H]+H+;92.0494875:[C6H4N+H]+H+;95.04925:[C4H4N3]+H+;103.041733333333:[C7H5N]+;104.049541666667:[C7H5N]+H+;105.044757142857:[C6H4N2]+H+;119.060475:[C7H5N2+H]+H+;130.04005:[C7H5N3-H]+;130.0652:[C9H6N+H]+H+;131.07295:[C9H6N+2H]+H+;147.0554:[C8H5N2O+H]+H+;160.087069230769:[C9H9N3]+H+
1.9720534111476296,187.074554,CN1C(C=O)=C(C2=CC=CC=C2)N=N1,UCQCSQBHJPBFEI-UHFFFAOYSA-N,1.57951;1.622;0.04249,20,21,"InChI=1S/C10H9N3O/c1-13-9(7-14)10(11-12-13)8-5-3-2-4-6-8/h2-7H,1H3",2,30854913,53.03852_55.0;57.0447285714286_93.0;65.0386_116.0;77.0386_884.0;81.03345_12.0;85.0396545454545_17.0;91.0542714285714_123.0;92.0494875_377.0;95.04925_112.0;103.041733333333_15.0;104.049541666667_999.0;105.044757142857_271.0;110.060033333333_7.0;119.060475_631.0;130.04005_11.0;130.0652_49.0;131.07295_24.0;142.0652_9.0;147.0554_3.0;160.087069230769_999.0,N,UHFFFAOYSA,UCQCSQBHJPBFEI,436.59859860811684,C10H9N3O,0.2658548595047261,1224.0;1469.0;1224.0;348.0;696.0;1021.0;1325.0;2345.0;1091.0;1021.0;1021.0;2245.0;2446.0;1121.0;1226.0;1370.0;1370.0;1865.0;2042.0;448.0,53.03852:[C4H4]+H+;57.0447285714286:[C2H3N2+H]+H+;65.0386:[C5H5]+;77.0386:[C6H5]+;81.03345:[C3H3N3]+;85.0396545454545:[C3H4N2O]+H+;91.0542714285714:[C7H5+H]+H+;92.0494875:[C6H4N+H]+H+;95.04925:[C4H4N3]+H+;103.041733333333:[C7H5N]+;104.049541666667:[C7H5N]+H+;105.044757142857:[C6H4N2]+H+;110.060033333333:[C6H5NO+2H]+H+;119.060475:[C7H5N2+H]+H+;130.04005:[C9H6O]+;130.0652:[C9H8N]+;131.07295:[C9H8N]+H+;142.0652:[C10H9N-H]+;147.0554:[C8H7N2O]+;160.087069230769:[C9H8N3+H]+H+
1.9659235402655817,187.074554,CC1=CC=CC=C1N2C=C(C=O)N=N2,WPJBXOSILFTYIO-UHFFFAOYSA-N,1.57951;1.461;0.11851,19,21,"InChI=1S/C10H9N3O/c1-8-4-2-3-5-10(8)13-6-9(7-14)11-12-13/h2-7H,1H3",2,26618845,53.03852_55.0;65.0386_116.0;77.0386_884.0;81.03345_12.0;85.0396545454545_17.0;91.0542714285714_123.0;92.0494875_377.0;95.04925_112.0;103.041733333333_15.0;104.049541666667_999.0;105.044757142857_271.0;110.060033333333_7.0;119.060475_631.0;130.04005_11.0;130.0652_49.0;131.07295_24.0;142.0652_9.0;147.0554_3.0;160.087069230769_999.0,N,UHFFFAOYSA,WPJBXOSILFTYIO,435.06559569782286,C10H9N3O,0.26513268116403876,1224.0;1324.0;653.0;1048.0;1323.0;305.0;1470.0;1772.0;1369.0;1122.0;1370.0;2446.0;1022.0;1672.0;1370.0;1370.0;1865.0;2042.0;448.0,53.03852:[C4H5]+;65.0386:[C5H6-H]+;77.0386:[C6H4]+H+;81.03345:[C3H2N3]+H+;85.0396545454545:[C3H2N2O+2H]+H+;91.0542714285714:[C7H7]+;92.0494875:[C6H4N+H]+H+;95.04925:[C4H2N3+2H]+H+;103.041733333333:[C7H5N]+;104.049541666667:[C7H7N-H]+;105.044757142857:[C6H4N2]+H+;110.060033333333:[C6H5NO+2H]+H+;119.060475:[C7H7N2]+;130.04005:[C7H5N3-H]+;130.0652:[C9H8N]+;131.07295:[C9H8N]+H+;142.0652:[C10H9N-H]+;147.0554:[C8H7N2O]+;160.087069230769:[C9H8N3+H]+H+
1.9624645303325,187.074554,CC=1C=CC=C(C1)N2C=C(C=O)N=N2,QJYJKSAVSHFNEE-UHFFFAOYSA-N,1.57951;1.672;0.09249,18,21,"InChI=1S/C10H9N3O/c1-8-3-2-4-10(5-8)13-6-9(7-14)11-12-13/h2-7H,1H3",2,26618920,53.03852_55.0;65.0386_116.0;77.0386_884.0;81.03345_12.0;85.0396545454545_17.0;91.0542714285714_123.0;92.0494875_377.0;95.04925_112.0;103.041733333333_15.0;104.049541666667_999.0;105.044757142857_271.0;119.060475_631.0;130.04005_11.0;130.0652_49.0;131.07295_24.0;142.0652_9.0;147.0554_3.0;160.087069230769_999.0,N,UHFFFAOYSA,QJYJKSAVSHFNEE,432.9660520309678,C10H9N3O,0.26545646052751315,1224.0;1324.0;653.0;1048.0;1323.0;305.0;1470.0;1772.0;1369.0;1122.0;1370.0;1022.0;1672.0;1370.0;1370.0;1865.0;2042.0;448.0,53.03852:[C4H5]+;65.0386:[C5H6-H]+;77.0386:[C6H4]+H+;81.03345:[C3H2N3]+H+;85.0396545454545:[C3H2N2O+2H]+H+;91.0542714285714:[C7H7]+;92.0494875:[C6H4N+H]+H+;95.04925:[C4H2N3+2H]+H+;103.041733333333:[C7H5N]+;104.049541666667:[C7H7N-H]+;105.044757142857:[C6H4N2]+H+;119.060475:[C7H7N2]+;130.04005:[C7H5N3-H]+;130.0652:[C9H8N]+;131.07295:[C9H8N]+H+;142.0652:[C10H9N-H]+;147.0554:[C8H7N2O]+;160.087069230769:[C9H8N3+H]+H+
1.9624645303325,187.074554,CC1=CC=C(C=C1)N2C=C(C=O)N=N2,QADMLFUJSLSFBQ-UHFFFAOYSA-N,1.57951;1.672;0.09249,18,21,"InChI=1S/C10H9N3O/c1-8-2-4-10(5-3-8)13-6-9(7-14)11-12-13/h2-7H,1H3",2,9063947,53.03852_55.0;65.0386_116.0;77.0386_884.0;81.03345_12.0;85.0396545454545_17.0;91.0542714285714_123.0;92.0494875_377.0;95.04925_112.0;103.041733333333_15.0;104.049541666667_999.0;105.044757142857_271.0;119.060475_631.0;130.04005_11.0;130.0652_49.0;131.07295_24.0;142.0652_9.0;147.0554_3.0;160.087069230769_999.0,N,UHFFFAOYSA,QADMLFUJSLSFBQ,432.9660520309678,C10H9N3O,0.26545646052751315,1224.0;1324.0;653.0;1048.0;1323.0;305.0;1470.0;1772.0;1369.0;1122.0;1370.0;1022.0;1672.0;1370.0;1370.0;1865.0;2042.0;448.0,53.03852:[C4H5]+;65.0386:[C5H6-H]+;77.0386:[C6H4]+H+;81.03345:[C3H2N3]+H+;85.0396545454545:[C3H2N2O+2H]+H+;91.0542714285714:[C7H7]+;92.0494875:[C6H4N+H]+H+;95.04925:[C4H2N3+2H]+H+;103.041733333333:[C7H5N]+;104.049541666667:[C7H7N-H]+;105.044757142857:[C6H4N2]+H+;119.060475:[C7H7N2]+;130.04005:[C7H5N3-H]+;130.0652:[C9H8N]+;131.07295:[C9H8N]+H+;142.0652:[C10H9N-H]+;147.0554:[C8H6N2O]+H+;160.087069230769:[C9H8N3+H]+H+
1.9492815816356135,187.074554,CC1=C(C=O)N=NN1C2=CC=CC=C2,MKHSSIQEGMRVGW-UHFFFAOYSA-N,1.57951;1.471;0.10851,18,21,"InChI=1S/C10H9N3O/c1-8-10(7-14)11-12-13(8)9-5-3-2-4-6-9/h2-7H,1H3",2,15548306,53.03852_55.0;57.0447285714286_93.0;65.0386_116.0;77.0386_884.0;81.03345_12.0;92.0494875_377.0;95.04925_112.0;103.041733333333_15.0;104.049541666667_999.0;105.044757142857_271.0;110.060033333333_7.0;119.060475_631.0;130.04005_11.0;130.0652_49.0;131.07295_24.0;142.0652_9.0;147.0554_3.0;160.087069230769_999.0,N,UHFFFAOYSA,MKHSSIQEGMRVGW,427.36807039182713,C10H9N3O,0.2652664764740409,1224.0;1426.0;1224.0;305.0;653.0;1022.0;1048.0;1369.0;1369.0;1022.0;2446.0;1469.0;1673.0;1370.0;1370.0;1865.0;2042.0;448.0,53.03852:[C4H4]+H+;57.0447285714286:[C2H3N2+H]+H+;65.0386:[C5H5]+;77.0386:[C6H5]+;81.03345:[C3H3N3]+;92.0494875:[C6H5N]+H+;95.04925:[C4H4N3]+H+;103.041733333333:[C7H5N]+;104.049541666667:[C7H5N]+H+;105.044757142857:[C6H5N2]+;110.060033333333:[C6H5NO+2H]+H+;119.060475:[C7H5N2+H]+H+;130.04005:[C7H5N3-H]+;130.0652:[C9H8N]+;131.07295:[C9H8N]+H+;142.0652:[C10H9N-H]+;147.0554:[C8H7N2O]+;160.087069230769:[C9H8N3+H]+H+
1.944125104911286,187.074554,CN1C(C=O)=NC(C2=CC=CC=C2)=N1,JHKVHSBAXNHYET-UHFFFAOYSA-N,1.57951;1.713;0.13349,18,21,"InChI=1S/C10H9N3O/c1-13-9(7-14)11-10(12-13)8-5-3-2-4-6-8/h2-7H,1H3",2,27027656,53.03852_55.0;57.0447285714286_93.0;65.0386_116.0;77.0386_884.0;81.03345_12.0;85.0396545454545_17.0;91.0542714285714_123.0;92.0494875_377.0;95.04925_112.0;103.041733333333_15.0;104.049541666667_999.0;105.044757142857_271.0;119.060475_631.0;130.04005_11.0;130.0652_49.0;131.07295_24.0;147.0554_3.0;160.087069230769_999.0,N,UHFFFAOYSA,JHKVHSBAXNHYET,425.6539290543312,C10H9N3O,0.26491048759865454,1224.0;1470.0;1224.0;348.0;696.0;1022.0;1326.0;2346.0;1091.0;1022.0;1022.0;2246.0;1122.0;1631.0;2069.0;2169.0;2246.0;448.0,53.03852:[C4H4]+H+;57.0447285714286:[C2H3N2+H]+H+;65.0386:[C5H5]+;77.0386:[C6H5]+;81.03345:[C3H3N3]+;85.0396545454545:[C3H4N2O]+H+;91.0542714285714:[C7H5+H]+H+;92.0494875:[C6H4N+H]+H+;95.04925:[C4H4N3]+H+;103.041733333333:[C7H5N]+;104.049541666667:[C7H5N]+H+;105.044757142857:[C6H4N2]+H+;119.060475:[C7H5N2+H]+H+;130.04005:[C7H5N3-H]+;130.0652:[C9H6N+H]+H+;131.07295:[C9H6N+2H]+H+;147.0554:[C8H7N2O]+;160.087069230769:[C9H8N3+H]+H+
1.940425870562355,187.074554,C1=CC=C(C=C1)C2=C(CC(N=N2)=O)N,LGCBNAGYUMHHRC-UHFFFAOYSA-N,1.57951;1.598;0.01849,20,21,"InChI=1S/C10H9N3O/c11-8-6-9(14)12-13-10(8)7-4-2-1-3-5-7/h1-5H,6,11H2",2,9732189,53.03852_55.0;57.0447285714286_93.0;65.0386_116.0;77.0386_884.0;81.03345_12.0;85.0396545454545_17.0;91.0542714285714_123.0;92.0494875_377.0;95.04925_112.0;103.041733333333_15.0;104.049541666667_999.0;105.044757142857_271.0;110.060033333333_7.0;119.060475_631.0;130.04005_11.0;130.0652_49.0;131.07295_24.0;142.0652_9.0;147.0554_3.0;160.087069230769_999.0,N,UHFFFAOYSA,LGCBNAGYUMHHRC,422.2529597326518,C10H9N3O,0.26594132444925817,1224.0;1305.0;1224.0;348.0;1101.0;1021.0;1017.0;1877.0;1091.0;1021.0;1021.0;1981.0;2034.0;1017.0;2077.0;753.0;653.0;1453.0;1060.0;653.0,53.03852:[C4H4]+H+;57.0447285714286:[C2H2N2+2H]+H+;65.0386:[C5H5]+;77.0386:[C6H5]+;81.03345:[C3H4N3-H]+;85.0396545454545:[C3H4N2O]+H+;91.0542714285714:[C7H5+H]+H+;92.0494875:[C6H5N]+H+;95.04925:[C4H4N3]+H+;103.041733333333:[C7H5N]+;104.049541666667:[C7H5N]+H+;105.044757142857:[C6H5N2]+;110.060033333333:[C6H5NO+2H]+H+;119.060475:[C7H5N2+H]+H+;130.04005:[C7H6N3-2H]+;130.0652:[C9H9N-H]+;131.07295:[C9H9N]+;142.0652:[C10H9N-H]+;147.0554:[C8H5N2O+H]+H+;160.087069230769:[C9H9N3]+H+
1.9331766924560976,187.074554,C1=CC=C(C=C1)N=C2C=CN=C(N2)O,AXGVTUWIUMYUBE-UHFFFAOYSA-N,1.57951;1.415;0.16451,17,21,"InChI=1S/C10H9N3O/c14-10-11-7-6-9(13-10)12-8-4-2-1-3-5-8/h1-7H,(H2,11,12,13,14)",2,262060,53.03852_55.0;57.0447285714286_93.0;65.0386_116.0;77.0386_884.0;81.03345_12.0;85.0396545454545_17.0;92.0494875_377.0;95.04925_112.0;103.041733333333_15.0;104.049541666667_999.0;105.044757142857_271.0;119.060475_631.0;130.04005_11.0;130.0652_49.0;131.07295_24.0;147.0554_3.0;160.087069230769_999.0,N,UHFFFAOYSA,AXGVTUWIUMYUBE,421.6564062034685,C10H9N3O,0.2643667128233939,1224.0;1422.0;1224.0;305.0;1223.0;653.0;613.0;765.0;653.0;653.0;1834.0;653.0;1684.0;610.0;710.0;961.0;1018.0,53.03852:[C4H4]+H+;57.0447285714286:[C2H2N2+2H]+H+;65.0386:[C5H5]+;77.0386:[C6H5]+;81.03345:[C3H3N3]+;85.0396545454545:[C3H4N2O]+H+;92.0494875:[C6H5N]+H+;95.04925:[C4H3N3+H]+H+;103.041733333333:[C7H5N]+;104.049541666667:[C7H5N]+H+;105.044757142857:[C6H5N2]+;119.060475:[C7H6N2]+H+;130.04005:[C7H5N3-H]+;130.0652:[C9H7N]+H+;131.07295:[C9H7N+H]+H+;147.0554:[C8H7N2O]+;160.087069230769:[C9H8N3+H]+H+
