sample,D,k
0.0,0.05,0.5
1.0,0.001,5.5
2.0,0.1,0.25
3.0,0.1,1.5
4.0,0.05,0.75
5.0,0.1,0.25
6.0,0.01,7.0
7.0,0.15,0.25
8.0,0.01,4.5
9.0,0.005,10.0
10.0,0.005,3.5
11.0,0.01,7.0
12.0,0.15,0.25
13.0,0.005,10.0
14.0,0.15,0.5
15.0,0.1,0.5
16.0,0.01,7.0
17.0,0.05,0.75
18.0,0.005,5.5
19.0,0.005,3.0
20.0,0.005,6.0
21.0,0.005,10.0
22.0,0.005,5.0
23.0,0.1,6.0
24.0,0.005,2.5
25.0,0.01,10.0
26.0,0.005,10.0
27.0,0.005,2.5
28.0,0.005,5.0
29.0,0.15,10.0
30.0,0.001,5.5
31.0,0.05,3.0
32.0,0.01,5.5
33.0,0.005,1.5
34.0,0.15,0.25
35.0,0.1,0.25
36.0,0.05,0.5
37.0,0.1,0.75
38.0,0.01,2.0
39.0,0.5,2.5
40.0,0.001,6.0
41.0,0.005,2.0
42.0,0.1,0.25
43.0,0.005,3.5
44.0,0.05,0.75
45.0,0.005,2.5
46.0,0.05,0.75
47.0,0.05,3.5
48.0,0.1,5.5
49.0,0.01,2.0
