sample,D,k
0.0,0.01,10.0
1.0,0.05,1.5
2.0,0.15,1.0
3.0,0.5,5.0
4.0,0.1,5.0
5.0,0.35,5.5
6.0,0.15,2.5
7.0,0.05,10.0
8.0,0.1,10.0
9.0,0.1,3.5
10.0,0.25,1.0
11.0,0.15,6.0
12.0,0.05,4.5
13.0,0.1,4.0
14.0,0.1,2.5
15.0,0.5,6.0
16.0,0.05,2.0
17.0,0.35,0.5
18.0,0.15,4.5
19.0,0.15,3.0
20.0,0.5,0.5
21.0,0.5,3.0
22.0,0.15,4.0
23.0,0.35,0.75
24.0,0.5,0.5
25.0,0.25,3.5
26.0,0.5,5.0
27.0,0.1,1.0
28.0,0.35,0.25
29.0,0.05,2.5
30.0,0.5,10.0
31.0,0.15,2.5
32.0,0.01,7.0
33.0,0.35,4.5
34.0,0.15,1.5
35.0,0.35,2.5
36.0,0.05,6.0
37.0,0.15,10.0
38.0,0.25,5.5
39.0,0.05,4.5
40.0,0.05,5.0
41.0,0.05,10.0
42.0,0.05,3.5
43.0,0.5,10.0
44.0,0.1,4.0
45.0,0.01,4.5
46.0,0.35,2.5
47.0,0.5,0.5
48.0,0.05,6.0
49.0,0.5,0.75
