D,k,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.05,1.0507891689712907,-6.891193175575575,-0.6863928483152854,5,train,24.0,62.0,68.0,36.0,48.0,0.56
0.1,1.0507891689712907,-6.805608982107956,-1.0680238017949044,5,train,22.0,62.0,68.0,36.0,50.0,0.561
0.15,1.0507891689712907,-6.738686659507749,-1.3521573373356972,5,train,22.0,64.0,68.0,36.0,50.0,0.562
0.25,1.0507891689712907,-6.564807977731272,-1.7684456197779561,5,train,24.0,60.0,68.0,38.0,48.0,0.561
0.35,1.0507891689712907,-6.382962914975681,-2.035437835736589,5,train,22.0,60.0,68.0,36.0,48.0,0.553
0.5,1.0507891689712907,-6.0240559809344125,-2.2492941926856327,5,train,22.0,60.0,68.0,36.0,48.0,0.552
0.0,,,,5,test,37.0,64.0,70.0,53.0,56.00000000000001,0.614
0.001,1.0219422886430218,-6.366757198459064,-0.027768145138691854,6,train,14.000000000000002,56.00000000000001,64.0,42.0,48.0,0.519
0.005,1.0219422886430218,-6.310005301153526,-0.12176551511186295,6,train,14.000000000000002,56.00000000000001,64.0,42.0,48.0,0.521
0.01,1.0219422886430218,-6.265747071221389,-0.21349331283916703,6,train,14.000000000000002,56.00000000000001,66.0,42.0,48.0,0.523
0.05,1.0219422886430218,-6.078446364509802,-0.7408747232590992,6,train,14.000000000000002,60.0,66.0,42.0,50.0,0.553
0.1,1.0219422886430218,-5.958419714686208,-1.1640006509156904,6,train,18.0,57.99999999999999,68.0,42.0,50.0,0.561
0.15,1.0219422886430218,-5.891792308928883,-1.45764395446558,6,train,18.0,60.0,68.0,44.0,50.0,0.571
0.25,1.0219422886430218,-5.830057149187924,-1.8552567401376217,6,train,18.0,62.0,68.0,44.0,48.0,0.566
0.35,1.0219422886430218,-5.800034274391788,-2.0870082807565797,6,train,16.0,62.0,68.0,44.0,50.0,0.563
0.5,1.0219422886430218,-5.726197314385009,-2.241414323988759,6,train,14.000000000000002,56.00000000000001,68.0,40.0,42.0,0.535
0.0,,,,6,test,28.999999999999996,57.99999999999999,65.0,41.0,46.0,0.5425
0.001,1.2958530170866134,-3.8496821556155227,-0.02283598086137729,7,train,14.000000000000002,62.0,70.0,38.0,48.0,0.558
0.005,1.2958530170866134,-3.80825445412639,-0.10062529426941448,7,train,14.000000000000002,62.0,70.0,38.0,48.0,0.558
0.01,1.2958530170866134,-3.778725306049435,-0.17620981086616586,7,train,14.000000000000002,64.0,74.0,38.0,48.0,0.569
0.05,1.2958530170866134,-3.732326621809878,-0.5597305867625759,7,train,16.0,66.0,76.0,40.0,52.0,0.59
0.1,1.2958530170866134,-3.745949849450611,-0.8825058761136989,7,train,14.000000000000002,66.0,76.0,38.0,52.0,0.59
0.15,1.2958530170866134,-3.7832204651647485,-1.115057635799807,7,train,14.000000000000002,62.0,72.0,40.0,52.0,0.592
0.25,1.2958530170866134,-3.8398533900896745,-1.441389039708575,7,train,14.000000000000002,62.0,72.0,46.0,54.0,0.601
0.35,1.2958530170866134,-3.8934115016157196,-1.6463085339886814,7,train,16.0,62.0,72.0,44.0,54.0,0.598
0.5,1.2958530170866134,-3.949581705990604,-1.7999672694966677,7,train,14.000000000000002,64.0,72.0,38.0,54.0,0.595
0.0,,,,7,test,32.0,72.0,76.0,50.0,56.00000000000001,0.653
0.001,1.0811089491728565,-5.794090224956318,-0.020883427085240103,8,train,32.0,62.0,66.0,48.0,52.0,0.586
0.005,1.0811089491728565,-5.76866406762147,-0.09759406801217033,8,train,32.0,62.0,66.0,48.0,52.0,0.585
