sample,D,k
0.0,0.01,10.0
1.0,0.35,0.25
2.0,0.05,2.5
3.0,0.25,1.5
4.0,0.15,0.5
5.0,0.005,10.0
6.0,0.005,2.5
7.0,0.01,10.0
8.0,0.1,0.25
9.0,0.05,7.0
10.0,0.05,2.5
11.0,0.05,1.0
12.0,0.25,0.5
13.0,0.01,4.5
14.0,0.05,2.0
15.0,0.5,0.25
16.0,0.01,5.5
17.0,0.1,0.5
18.0,0.1,0.5
19.0,0.01,6.0
20.0,0.5,0.25
21.0,0.15,1.5
22.0,0.35,0.25
23.0,0.05,6.0
24.0,0.15,3.5
25.0,0.25,0.5
26.0,0.1,10.0
27.0,0.05,2.5
28.0,0.35,0.75
29.0,0.1,1.0
30.0,0.1,5.5
31.0,0.1,0.25
32.0,0.01,10.0
33.0,0.05,0.75
34.0,0.05,10.0
35.0,0.1,0.25
36.0,0.5,0.5
37.0,0.15,0.5
38.0,0.01,10.0
39.0,0.1,0.5
40.0,0.005,5.0
41.0,0.05,2.0
42.0,0.1,3.0
43.0,0.05,0.75
44.0,0.005,7.0
45.0,0.35,0.5
46.0,0.1,0.75
47.0,0.001,0.25
48.0,0.35,0.25
49.0,0.001,0.25
