sample,D,k
0.0,0.005,3.0
1.0,0.01,3.5
2.0,0.05,0.75
3.0,0.05,2.0
4.0,0.01,5.0
5.0,0.005,5.5
6.0,0.005,3.0
7.0,0.05,2.5
8.0,0.05,0.75
9.0,0.005,3.0
10.0,0.05,1.5
11.0,0.05,0.75
12.0,0.001,5.5
13.0,0.35,0.25
14.0,0.15,0.25
15.0,0.25,0.5
16.0,0.05,1.5
17.0,0.1,1.0
18.0,0.35,0.25
19.0,0.5,0.25
20.0,0.005,6.0
21.0,0.25,0.5
22.0,0.01,5.5
23.0,0.005,7.0
24.0,0.005,4.0
25.0,0.005,6.0
26.0,0.05,3.0
27.0,0.25,0.5
28.0,0.01,3.0
29.0,0.01,3.0
30.0,0.01,7.0
31.0,0.01,10.0
32.0,0.005,2.5
33.0,0.01,6.0
34.0,0.05,0.75
35.0,0.15,0.25
36.0,0.1,0.25
37.0,0.25,0.5
38.0,0.05,0.5
39.0,0.05,0.5
40.0,0.05,0.75
41.0,0.01,6.0
42.0,0.05,0.5
43.0,0.01,3.5
44.0,0.001,5.0
45.0,0.005,2.5
46.0,0.01,4.0
47.0,0.05,3.0
48.0,0.01,10.0
49.0,0.15,0.25
