sample,D
0.0,0.05
1.0,0.05
2.0,0.001
3.0,0.05
4.0,0.1
5.0,0.05
6.0,0.01
7.0,0.2
8.0,0.3
9.0,0.3
10.0,0.3
11.0,0.1
12.0,0.3
13.0,0.5
14.0,0.3
15.0,0.5
16.0,0.05
17.0,0.2
18.0,0.001
19.0,0.05
20.0,0.2
21.0,0.05
22.0,0.3
23.0,0.001
24.0,0.3
25.0,0.1
26.0,0.01
27.0,0.3
28.0,0.001
29.0,0.3
30.0,0.2
31.0,0.01
32.0,0.3
33.0,0.05
34.0,0.3
35.0,0.2
36.0,0.2
37.0,0.3
38.0,0.3
39.0,0.2
40.0,0.3
41.0,0.05
42.0,0.05
43.0,0.001
44.0,0.5
45.0,0.01
46.0,0.3
47.0,0.2
48.0,0.2
49.0,0.3
