sample,D,k
0.0,0.01,7.0
1.0,0.01,6.0
2.0,0.15,0.75
3.0,0.01,3.5
4.0,0.005,7.0
5.0,0.05,1.0
6.0,0.1,1.5
7.0,0.005,4.5
8.0,0.005,3.0
9.0,0.05,2.0
10.0,0.05,2.0
11.0,0.01,6.0
12.0,0.01,7.0
13.0,0.005,4.0
14.0,0.01,6.0
15.0,0.005,5.0
16.0,0.05,1.0
17.0,0.01,3.0
18.0,0.35,0.25
19.0,0.05,3.5
20.0,0.35,0.25
21.0,0.05,7.0
22.0,0.05,3.0
23.0,0.05,2.0
24.0,0.25,0.5
25.0,0.001,5.5
26.0,0.05,3.0
27.0,0.005,5.0
28.0,0.05,1.5
29.0,0.01,3.5
30.0,0.5,0.25
31.0,0.005,3.0
32.0,0.05,2.0
33.0,0.005,5.0
34.0,0.01,2.5
35.0,0.005,5.5
36.0,0.005,5.0
37.0,0.005,4.5
38.0,0.05,2.0
39.0,0.005,4.5
40.0,0.01,4.0
41.0,0.01,4.0
42.0,0.005,5.0
43.0,0.005,4.5
44.0,0.05,2.0
45.0,0.005,3.0
46.0,0.01,7.0
47.0,0.005,3.5
48.0,0.5,0.75
49.0,0.05,4.0
