sample,D,k
0.0,0.5,3.0
1.0,0.1,0.5
2.0,0.15,2.5
3.0,0.15,5.0
4.0,0.25,1.5
5.0,0.15,2.0
6.0,0.1,5.5
7.0,0.05,5.0
8.0,0.15,4.0
9.0,0.1,3.5
10.0,0.05,5.0
11.0,0.1,2.0
12.0,0.5,0.5
13.0,0.25,2.5
14.0,0.15,7.0
15.0,0.5,7.0
16.0,0.15,2.0
17.0,0.05,3.0
18.0,0.1,6.0
19.0,0.1,4.5
20.0,0.05,7.0
21.0,0.15,10.0
22.0,0.25,3.0
23.0,0.15,1.0
24.0,0.05,10.0
25.0,0.1,7.0
26.0,0.5,2.5
27.0,0.05,1.5
28.0,0.5,5.0
29.0,0.25,3.0
30.0,0.25,10.0
31.0,0.05,6.0
32.0,0.01,10.0
33.0,0.25,4.5
34.0,0.25,1.0
35.0,0.15,7.0
36.0,0.005,1.5
37.0,0.5,2.0
38.0,0.5,5.5
39.0,0.35,1.0
40.0,0.25,0.75
41.0,0.05,5.0
42.0,0.1,6.0
43.0,0.5,10.0
44.0,0.1,2.0
45.0,0.01,4.0
46.0,0.05,10.0
47.0,0.1,2.5
48.0,0.05,5.0
49.0,0.25,1.0
