D,k,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.35,1.0507891689712907,-223.64508847883417,-1.0,5,train,24.0,70.0,76.0,42.0,54.0,0.632
0.5,1.0507891689712907,-226.45728018269466,-1.0,5,train,16.0,66.0,76.0,38.0,48.0,0.605
0.0,,,,5,test,27.0,71.0,78.0,48.0,56.99999999999999,0.649
0.001,1.0219422886430218,-227.71551306183332,-1.0,6,train,20.0,66.0,80.0,42.0,56.00000000000001,0.641
0.005,1.0219422886430218,-227.68808166342387,-1.0,6,train,22.0,70.0,80.0,42.0,54.0,0.651
0.01,1.0219422886430218,-227.65556625823515,-1.0,6,train,22.0,72.0,80.0,42.0,54.0,0.655
0.05,1.0219422886430218,-227.46397538123472,-1.0,6,train,22.0,72.0,82.0,44.0,57.99999999999999,0.669
0.1,1.0219422886430218,-227.38481156191932,-1.0,6,train,24.0,72.0,78.0,44.0,57.99999999999999,0.656
0.15,1.0219422886430218,-227.46722239415806,-1.0,6,train,24.0,70.0,78.0,44.0,52.0,0.639
0.25,1.0219422886430218,-228.0543853674302,-1.0,6,train,20.0,68.0,76.0,36.0,52.0,0.629
0.35,1.0219422886430218,-229.11885572834294,-1.0,6,train,20.0,66.0,74.0,36.0,50.0,0.611
0.5,1.0219422886430218,-231.45691051129552,-1.0,6,train,18.0,60.0,74.0,32.0,38.0,0.568
0.0,,,,6,test,23.0,68.0,78.0,52.0,63.0,0.6585
0.001,1.2958530170866134,-229.93603004103025,-1.0,7,train,16.0,62.0,76.0,40.0,54.0,0.597
0.005,1.2958530170866134,-229.87358682114652,-1.0,7,train,18.0,62.0,76.0,38.0,54.0,0.597
0.01,1.2958530170866134,-229.79695268586582,-1.0,7,train,20.0,62.0,76.0,38.0,56.00000000000001,0.601
0.05,1.2958530170866134,-229.24468739664053,-1.0,7,train,20.0,68.0,74.0,42.0,56.00000000000001,0.618
0.1,1.2958530170866134,-228.72184608751076,-1.0,7,train,18.0,68.0,74.0,44.0,57.99999999999999,0.637
0.15,1.2958530170866134,-228.39487210774092,-1.0,7,train,20.0,70.0,74.0,46.0,62.0,0.645
0.25,1.2958530170866134,-228.27445998601905,-1.0,7,train,18.0,70.0,76.0,44.0,57.99999999999999,0.646
