n_ms2rt_tuples,sample,n_cand_tot,n_cand_med,n_cand_avg,n_cand_max,training_time,scoring_time
15,0,9914,238.0,660.9333333333333,5064,59.911680459976196,7.0398406982421875
15,1,9270,215.0,618.0,2707,60.27788543701172,7.009634017944336
15,2,8182,380.0,545.4666666666667,2458,49.07711410522461,6.036872863769531
15,3,17843,380.0,1189.5333333333333,5348,241.11104249954224,28.50150179862976
15,4,8085,215.0,539.0,2352,44.00050497055054,5.4808831214904785
15,5,7659,280.0,510.6,2458,37.88583469390869,4.397680997848511
15,6,6297,147.0,419.8,1528,27.312591075897217,3.176408052444458
15,7,12057,380.0,803.8,4533,99.68540358543396,12.22466230392456
15,8,11316,373.0,754.4,5064,87.61814999580383,10.352643966674805
15,9,9737,529.0,649.1333333333333,1528,63.56809067726135,7.315350532531738
15,10,9550,357.0,636.6666666666666,2216,64.01654982566833,7.4054553508758545
15,11,12212,606.0,814.1333333333333,2707,100.80520224571228,11.562033891677856
15,12,15665,546.0,1044.3333333333333,5064,192.43387746810913,23.33092427253723
15,13,20391,557.0,1359.4,5064,302.06234979629517,37.01613140106201
15,14,9556,373.0,637.0666666666667,2231,64.31518507003784,7.623444557189941
30,0,26732,441.5,891.0666666666667,5348,279.8119113445282,34.58135414123535
30,1,19508,286.0,650.2666666666667,5064,135.02519130706787,16.12541174888611
30,2,19085,413.0,636.1666666666666,2707,138.79580688476562,16.118515253067017
30,3,25948,402.0,864.9333333333333,5348,268.68303322792053,30.920124530792236
30,4,26039,371.0,867.9666666666667,5348,264.76441979408264,31.94772744178772
30,5,25061,519.5,835.3666666666667,5064,233.4746687412262,26.45948314666748
30,6,19167,222.0,638.9,5064,152.72013568878174,17.96467638015747
30,7,21913,258.5,730.4333333333333,5348,178.60001492500305,22.59343719482422
30,8,21644,376.5,721.4666666666667,5064,177.97587490081787,20.985350131988525
30,9,30838,549.0,1027.9333333333334,5348,394.2012183666229,46.99618625640869
30,10,23739,442.0,791.3,2889,218.36255311965942,25.13976788520813
30,11,29615,501.5,987.1666666666666,5064,356.70984745025635,41.2133846282959
30,12,24605,402.0,820.1666666666666,5064,234.80512261390686,27.511261224746704
30,13,37241,563.0,1241.3666666666666,5348,583.8120255470276,69.87592244148254
30,14,20053,459.5,668.4333333333333,2231,150.31972980499268,17.20369291305542
45,0,36353,380.0,807.8444444444444,5348,336.6704261302948,38.91035318374634
45,1,32462,373.0,721.3777777777777,5064,274.47342348098755,32.895256996154785
45,2,38119,383.0,847.0888888888888,5348,399.46908354759216,46.05114817619324
45,3,37891,383.0,842.0222222222222,5348,378.59194803237915,47.43221879005432
45,4,31013,334.0,689.1777777777778,5348,239.44827365875244,27.750627040863037
45,5,37665,383.0,837.0,5064,386.0587706565857,46.08566379547119
45,6,36724,383.0,816.0888888888888,5064,366.04586148262024,42.318830251693726
45,7,38968,392.0,865.9555555555555,5348,433.9015920162201,50.3265061378479
45,8,42462,383.0,943.6,5348,501.11775755882263,59.147337436676025
45,9,48911,546.0,1086.911111111111,5348,673.2505881786346,79.97376322746277
45,10,31865,373.0,708.1111111111111,2889,268.7637138366699,31.19575047492981
45,11,35505,380.0,789.0,5064,366.4798147678375,44.258930683135986
45,12,35549,380.0,789.9777777777778,5064,329.51889753341675,38.44363737106323
45,13,47153,557.0,1047.8444444444444,5348,610.2859947681427,70.29112553596497
45,14,38720,501.0,860.4444444444445,5348,413.82630038261414,49.72293496131897
60,0,47971,381.5,799.5166666666667,5348,467.8103857040405,54.0535089969635
60,1,37654,345.5,627.5666666666667,5064,282.3832633495331,32.92582321166992
60,2,47715,387.5,795.25,5348,459.55602192878723,53.356931924819946
60,3,50945,381.5,849.0833333333334,5348,535.8932046890259,63.782410860061646
60,4,46122,378.0,768.7,5348,442.5193626880646,51.20579147338867
60,5,52211,381.5,870.1833333333333,5348,584.2664878368378,68.61229395866394
60,6,57296,413.0,954.9333333333333,5348,716.9439840316772,81.74049592018127
