sample,D,k
0.0,0.15,4.5
1.0,0.1,3.5
2.0,0.05,2.0
3.0,0.05,3.5
4.0,0.5,1.5
5.0,0.01,10.0
6.0,0.15,3.5
7.0,0.05,3.0
8.0,0.05,2.0
9.0,0.5,1.5
10.0,0.005,10.0
11.0,0.35,3.5
12.0,0.5,2.0
13.0,0.1,10.0
14.0,0.15,6.0
15.0,0.05,1.0
16.0,0.15,1.5
17.0,0.15,3.5
18.0,0.005,4.0
19.0,0.5,0.75
20.0,0.35,6.0
21.0,0.15,4.0
22.0,0.05,6.0
23.0,0.1,1.0
24.0,0.05,4.5
25.0,0.15,5.5
26.0,0.5,0.5
27.0,0.05,7.0
28.0,0.25,1.0
29.0,0.05,4.0
30.0,0.35,1.0
31.0,0.5,0.25
32.0,0.05,5.5
33.0,0.15,3.0
34.0,0.1,2.5
35.0,0.25,2.0
36.0,0.01,7.0
37.0,0.1,5.0
38.0,0.15,5.0
39.0,0.05,7.0
40.0,0.05,7.0
41.0,0.05,4.5
42.0,0.5,0.75
43.0,0.05,2.5
44.0,0.5,0.75
45.0,0.05,5.5
46.0,0.05,6.0
47.0,0.25,3.0
48.0,0.5,0.5
49.0,0.05,10.0
50.0,0.05,6.0
51.0,0.1,6.0
52.0,0.15,10.0
53.0,0.15,3.0
54.0,0.05,10.0
55.0,0.1,4.5
56.0,0.1,4.5
57.0,0.05,3.5
58.0,0.05,4.5
59.0,0.05,4.0
60.0,0.5,0.25
61.0,0.1,4.0
62.0,0.05,4.5
63.0,0.1,3.0
64.0,0.25,3.0
65.0,0.005,6.0
66.0,0.01,10.0
67.0,0.05,4.5
68.0,0.5,2.5
69.0,0.25,4.5
70.0,0.05,2.0
71.0,0.1,6.0
72.0,0.05,2.0
73.0,0.15,10.0
74.0,0.35,2.0
75.0,0.1,2.5
76.0,0.01,6.0
77.0,0.35,0.75
78.0,0.15,2.0
79.0,0.15,1.0
80.0,0.05,4.0
81.0,0.25,4.0
82.0,0.05,4.0
83.0,0.35,3.0
84.0,0.05,4.5
85.0,0.15,5.0
86.0,0.5,1.0
87.0,0.05,6.0
88.0,0.05,7.0
89.0,0.25,1.5
90.0,0.005,10.0
91.0,0.15,4.5
92.0,0.5,3.0
93.0,0.05,6.0
94.0,0.15,4.5
95.0,0.05,3.0
96.0,0.35,1.5
97.0,0.35,1.0
98.0,0.05,3.5
99.0,0.25,4.5
