sample,D,k
0.0,0.1,0.75
1.0,0.01,2.0
2.0,0.05,1.5
3.0,0.001,0.25
4.0,0.01,6.0
5.0,0.005,4.0
6.0,0.01,7.0
7.0,0.35,0.25
8.0,0.1,1.0
9.0,0.01,5.5
10.0,0.1,0.5
11.0,0.1,0.5
12.0,0.01,6.0
13.0,0.05,1.5
14.0,0.005,5.5
15.0,0.25,0.75
16.0,0.001,0.25
17.0,0.005,5.0
18.0,0.001,0.25
19.0,0.005,7.0
20.0,0.05,0.75
21.0,0.05,0.75
22.0,0.01,3.5
23.0,0.001,0.25
24.0,0.01,7.0
25.0,0.35,1.5
26.0,0.01,7.0
27.0,0.005,7.0
28.0,0.005,0.75
29.0,0.005,10.0
30.0,0.1,0.75
31.0,0.005,5.0
32.0,0.1,0.75
33.0,0.01,7.0
34.0,0.005,3.0
35.0,0.005,10.0
36.0,0.05,1.5
37.0,0.005,2.5
38.0,0.005,10.0
39.0,0.05,3.5
40.0,0.01,2.5
41.0,0.01,3.0
42.0,0.005,6.0
43.0,0.05,2.5
44.0,0.005,3.5
45.0,0.1,1.5
46.0,0.05,1.5
47.0,0.005,10.0
48.0,0.005,3.5
49.0,0.05,2.5
