D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc,un_p_marg,un_topk_auc
0.005,1.0777392328768498,0.44796265976597593,-221.0688182627831,-1.0,4,train,20.0,60.0,76.0,44.0,56.00000000000001,0.596,-5.986193771032214,0.596
0.01,1.0777392328768498,0.45562757892774813,-221.03459355376057,-1.0,4,train,20.0,60.0,78.0,44.0,57.99999999999999,0.598,-5.896566611532536,0.598
0.05,1.0777392328768498,0.47219389001179707,-220.86188859403262,-1.0,4,train,24.0,62.0,78.0,44.0,54.0,0.617,-5.867595746530508,0.618
0.1,1.0777392328768498,0.467876299046032,-220.87643876698868,-1.0,4,train,24.0,64.0,76.0,46.0,54.0,0.613,-6.148439748681968,0.612
0.15,1.0777392328768498,0.4683643854869555,-221.10272454337317,-1.0,4,train,24.0,64.0,76.0,46.0,54.0,0.612,-6.523503812622615,0.614
0.25,1.0777392328768498,0.4463038991069725,-222.03475934073754,-1.0,4,train,24.0,62.0,74.0,42.0,50.0,0.594,-7.278909174588883,0.598
0.35,1.0777392328768498,0.45401440479645705,-223.4423870663131,-1.0,4,train,24.0,60.0,76.0,42.0,48.0,0.585,-8.097638022679822,0.592
0.5,1.0777392328768498,0.39504112220359267,-226.20981414254678,-1.0,4,train,12.0,56.00000000000001,68.0,40.0,46.0,0.543,-9.385533662953007,0.56
0.0,,,,,4,test,28.000000000000004,73.0,80.0,51.0,62.0,0.672,,
0.001,1.0507891689712907,0.505804318862898,-219.0358312819462,-1.0,5,train,24.0,68.0,82.0,54.0,62.0,0.677,-5.766052846798769,0.677
0.005,1.0507891689712907,0.5065066980551989,-219.06921436829936,-1.0,5,train,24.0,68.0,82.0,54.0,62.0,0.677,-5.735451203759968,0.677
0.01,1.0507891689712907,0.5040219331883172,-219.1116936661841,-1.0,5,train,24.0,68.0,82.0,54.0,62.0,0.677,-5.705992994747691,0.677
0.05,1.0507891689712907,0.4927160193494425,-219.48082592274883,-1.0,5,train,22.0,66.0,84.0,52.0,62.0,0.668,-5.583967622294955,0.667
0.1,1.0507891689712907,0.49329850939690795,-220.01201836669583,-1.0,5,train,24.0,66.0,80.0,52.0,62.0,0.655,-5.681637433625755,0.655
0.15,1.0507891689712907,0.4878595017609746,-220.61521375270152,-1.0,5,train,26.0,66.0,78.0,50.0,57.99999999999999,0.645,-5.990305627875244,0.647
0.25,1.0507891689712907,0.47739135374086655,-222.01591095403387,-1.0,5,train,24.0,64.0,80.0,48.0,56.00000000000001,0.633,-6.733911214716181,0.636
0.35,1.0507891689712907,0.4588135748010961,-223.6450884788341,-1.0,5,train,24.0,70.0,76.0,42.0,54.0,0.632,-7.627405437006664,0.638
0.5,1.0507891689712907,0.4246010651020108,-226.45728018269406,-1.0,5,train,16.0,66.0,76.0,38.0,48.0,0.605,-9.04918069823135,0.616
0.0,,,,,5,test,27.0,71.0,78.0,48.0,56.99999999999999,0.649,,
0.001,1.0219422886430218,0.45931576945709407,-227.71551306183306,-1.0,6,train,20.0,66.0,80.0,42.0,56.00000000000001,0.641,-4.833654533775864,0.641
0.005,1.0219422886430218,0.46748022521744653,-227.6880816634238,-1.0,6,train,22.0,70.0,80.0,42.0,54.0,0.651,-4.736291056322271,0.651
0.01,1.0219422886430218,0.47083338259439683,-227.6555662582352,-1.0,6,train,22.0,72.0,80.0,42.0,54.0,0.655,-4.619773278895988,0.655
0.05,1.0219422886430218,0.4830385325367386,-227.4639753812347,-1.0,6,train,22.0,72.0,82.0,44.0,57.99999999999999,0.669,-4.358499019766788,0.669
0.1,1.0219422886430218,0.47659959930864804,-227.3848115619192,-1.0,6,train,24.0,72.0,78.0,44.0,57.99999999999999,0.656,-4.52136509434283,0.657
0.15,1.0219422886430218,0.47253121067763215,-227.46722239415803,-1.0,6,train,24.0,70.0,78.0,44.0,52.0,0.639,-4.7841672049839445,0.646
0.25,1.0219422886430218,0.4520153078658465,-228.05438536743023,-1.0,6,train,20.0,68.0,76.0,36.0,52.0,0.629,-5.471754934470196,0.634
0.35,1.0219422886430218,0.4380837535386762,-229.11885572834282,-1.0,6,train,20.0,66.0,74.0,36.0,50.0,0.611,-6.393019519660484,0.615
0.5,1.0219422886430218,0.40874211926802095,-231.4569105112954,-1.0,6,train,18.0,60.0,74.0,32.0,38.0,0.568,-7.807349958917132,0.59
0.0,,,,,6,test,23.0,68.0,78.0,52.0,63.0,0.6585,,
0.001,1.2958530170866134,0.4272947758330805,-229.9360300410305,-1.0,7,train,16.0,62.0,76.0,40.0,54.0,0.597,-6.3317600128532945,0.597
0.005,1.2958530170866134,0.43154759186846703,-229.8735868211465,-1.0,7,train,18.0,62.0,76.0,38.0,54.0,0.597,-6.26136670622149,0.597
0.01,1.2958530170866134,0.4390592406491355,-229.79695268586596,-1.0,7,train,20.0,62.0,76.0,38.0,56.00000000000001,0.601,-6.182664767194007,0.601
0.05,1.2958530170866134,0.4473679810032661,-229.2446873966406,-1.0,7,train,20.0,68.0,74.0,42.0,56.00000000000001,0.618,-5.8240734633660765,0.617
0.1,1.2958530170866134,0.4534002259737344,-228.72184608751073,-1.0,7,train,18.0,68.0,74.0,44.0,57.99999999999999,0.637,-5.907222009284482,0.636
0.15,1.2958530170866134,0.4666977894710735,-228.39487210774104,-1.0,7,train,20.0,70.0,74.0,46.0,62.0,0.645,-6.063615166453245,0.646
0.25,1.2958530170866134,0.4449803681741043,-228.27445998601905,-1.0,7,train,18.0,70.0,76.0,44.0,57.99999999999999,0.646,-6.598642802409459,0.641
0.35,1.2958530170866134,0.4378925723228166,-228.70884673900355,-1.0,7,train,16.0,68.0,76.0,38.0,54.0,0.629,-7.248454716509326,0.625
0.5,1.2958530170866134,0.39470180701340124,-230.07903021568936,-1.0,7,train,12.0,66.0,74.0,36.0,50.0,0.601,-8.28366285454104,0.599
0.0,,,,,7,test,30.0,77.0,85.0,56.99999999999999,69.0,0.731,,
0.001,1.0811089491728565,0.5620763813389165,-213.71974357899745,-1.0,8,train,32.0,78.0,80.0,60.0,72.0,0.728,-3.4722569455202477,0.728
0.005,1.0811089491728565,0.5606899125003842,-213.7483885406367,-1.0,8,train,32.0,78.0,80.0,57.99999999999999,72.0,0.727,-3.4551329745368635,0.727
0.01,1.0811089491728565,0.5523730391233047,-213.78541017498466,-1.0,8,train,30.0,78.0,80.0,57.99999999999999,70.0,0.725,-3.453353460538921,0.725
0.05,1.0811089491728565,0.5488891034917297,-214.12775626063922,-1.0,8,train,28.000000000000004,80.0,80.0,57.99999999999999,70.0,0.73,-3.766295785347746,0.731
0.1,1.0811089491728565,0.542744680326008,-214.660493196452,-1.0,8,train,28.000000000000004,80.0,82.0,52.0,70.0,0.72,-4.380276264011358,0.722
0.15,1.0811089491728565,0.5426968401583132,-215.29537590188232,-1.0,8,train,28.000000000000004,76.0,84.0,50.0,68.0,0.71,-5.040290086399935,0.718
0.25,1.0811089491728565,0.5698164854387905,-216.83000631636077,-1.0,8,train,38.0,74.0,80.0,54.0,70.0,0.695,-6.354491129668051,0.699
0.35,1.0811089491728565,0.546162785677141,-218.67913420913092,-1.0,8,train,38.0,72.0,76.0,54.0,62.0,0.671,-7.567562779240383,0.671
0.5,1.0811089491728565,0.528048935253204,-222.01132530101867,-1.0,8,train,34.0,70.0,72.0,48.0,60.0,0.636,-9.580793552929629,0.64
0.0,,,,,8,test,22.0,72.0,79.0,47.0,61.0,0.659,,
0.001,1.0090002876211834,0.5944373242033956,-199.81256576600387,-1.0,9,train,36.0,76.0,82.0,64.0,72.0,0.733,-5.4068513078400935,0.733
0.005,1.0090002876211834,0.5958237930419277,-199.8326048133979,-1.0,9,train,36.0,76.0,82.0,66.0,72.0,0.734,-5.369383115536025,0.734
0.01,1.0090002876211834,0.5958237930419277,-199.8587507628046,-1.0,9,train,36.0,76.0,82.0,66.0,72.0,0.734,-5.327874720052002,0.734
0.05,1.0090002876211834,0.603578973886752,-200.110323698399,-1.0,9,train,38.0,76.0,82.0,64.0,74.0,0.738,-5.059679395603122,0.738
0.1,1.0090002876211834,0.5865069957291518,-200.52410811085943,-1.0,9,train,34.0,78.0,82.0,64.0,74.0,0.738,-5.003891701711073,0.737
0.15,1.0090002876211834,0.5865825346026186,-201.03842104307094,-1.0,9,train,32.0,78.0,82.0,62.0,74.0,0.74,-5.214369699182855,0.741
0.25,1.0090002876211834,0.5556926620132886,-202.33400815409888,-1.0,9,train,28.000000000000004,78.0,82.0,57.99999999999999,68.0,0.731,-5.968442589639589,0.732
0.35,1.0090002876211834,0.5340340412062133,-203.94109933083536,-1.0,9,train,24.0,74.0,82.0,57.99999999999999,62.0,0.706,-6.836969341124379,0.713
0.5,1.0090002876211834,0.4997248147931962,-206.85539924873314,-1.0,9,train,22.0,74.0,78.0,52.0,62.0,0.668,-8.1794762174416,0.681
0.0,,,,,9,test,23.0,73.0,82.0,50.0,60.0,0.6765,,
0.001,1.012871547429889,0.4787171703474815,-216.84001757114558,-1.0,10,train,22.0,70.0,76.0,52.0,57.99999999999999,0.638,-7.354782487443575,0.638
0.005,1.012871547429889,0.4787753403540966,-216.81913277980846,-1.0,10,train,22.0,68.0,76.0,52.0,57.99999999999999,0.637,-7.323914971169517,0.637
0.01,1.012871547429889,0.4790791989672756,-216.79464168587856,-1.0,10,train,22.0,68.0,76.0,52.0,57.99999999999999,0.639,-7.288259570984177,0.639
0.05,1.012871547429889,0.4923107940238511,-216.65970402031368,-1.0,10,train,24.0,70.0,78.0,50.0,62.0,0.65,-7.154915337148312,0.65
0.1,1.012871547429889,0.5045634595510896,-216.62761571789716,-1.0,10,train,24.0,70.0,78.0,50.0,64.0,0.656,-7.167758130788709,0.656
0.15,1.012871547429889,0.4976632323458916,-216.72494733954494,-1.0,10,train,22.0,70.0,78.0,52.0,64.0,0.658,-7.245554228049548,0.656
0.25,1.012871547429889,0.4766496321157224,-217.23430761702357,-1.0,10,train,22.0,68.0,76.0,50.0,62.0,0.642,-7.569924292390944,0.635
0.35,1.012871547429889,0.460722466056061,-218.0759535538374,-1.0,10,train,18.0,66.0,74.0,42.0,57.99999999999999,0.622,-7.9254347790245365,0.628
0.5,1.012871547429889,0.4253471772662856,-219.82018413633156,-1.0,10,train,18.0,66.0,74.0,40.0,50.0,0.591,-8.465620095250546,0.597
0.0,,,,,10,test,20.0,68.0,79.0,42.0,52.0,0.631,,
0.001,1.139872059040666,0.39512681630438884,-226.49215987476816,-1.0,11,train,16.0,60.0,70.0,36.0,46.0,0.557,-5.93458806508476,0.557
0.005,1.139872059040666,0.40852885844144815,-226.44143880177995,-1.0,11,train,18.0,64.0,70.0,34.0,46.0,0.567,-5.874116300274972,0.567
0.01,1.139872059040666,0.4079159460389178,-226.3802008926257,-1.0,11,train,18.0,64.0,70.0,34.0,44.0,0.566,-5.826700886285611,0.566
0.05,1.139872059040666,0.4092538847587834,-225.97260026026004,-1.0,11,train,16.0,64.0,72.0,36.0,44.0,0.569,-5.896609683279761,0.569
0.1,1.139872059040666,0.41215622385790973,-225.64745297701577,-1.0,11,train,16.0,60.0,76.0,34.0,42.0,0.554,-6.292281023403108,0.551
0.15,1.139872059040666,0.38517183165277713,-225.49567025222686,-1.0,11,train,12.0,57.99999999999999,72.0,34.0,42.0,0.531,-6.801825469358582,0.529
0.25,1.139872059040666,0.37215897647912327,-225.61712939967092,-1.0,11,train,12.0,54.0,68.0,34.0,42.0,0.512,-7.919245416690144,0.514
0.35,1.139872059040666,0.3700550319967098,-226.2049763018665,-1.0,11,train,14.000000000000002,54.0,66.0,34.0,42.0,0.51,-9.071371094445709,0.506
0.5,1.139872059040666,0.36433051016338025,-227.79194783500324,-1.0,11,train,14.000000000000002,56.00000000000001,70.0,30.0,38.0,0.507,-10.951432760138152,0.502
0.0,,,,,11,test,20.0,68.0,73.0,49.0,56.99999999999999,0.629,,
0.001,1.0759147570561038,0.4936369214781567,-216.75869383072566,-1.0,12,train,30.0,66.0,72.0,50.0,57.99999999999999,0.616,-5.053215858206841,0.616
0.005,1.0759147570561038,0.49387622486507854,-216.7784360972315,-1.0,12,train,30.0,66.0,72.0,50.0,57.99999999999999,0.617,-5.029054701341883,0.617
0.01,1.0759147570561038,0.49387622486507843,-216.8044753857658,-1.0,12,train,30.0,66.0,72.0,50.0,57.99999999999999,0.617,-5.009006729310996,0.617
0.05,1.0759147570561038,0.5366386931870406,-217.06475093704572,-1.0,12,train,38.0,66.0,76.0,50.0,57.99999999999999,0.634,-4.963608726992789,0.634
0.1,1.0759147570561038,0.5361285572528148,-217.50908101284503,-1.0,12,train,36.0,66.0,76.0,52.0,57.99999999999999,0.643,-5.045929141783788,0.641
0.15,1.0759147570561038,0.5260260783337215,-218.07031299348438,-1.0,12,train,34.0,64.0,76.0,50.0,57.99999999999999,0.638,-5.2565078502674885,0.641
0.25,1.0759147570561038,0.5114456313369942,-219.4928515551821,-1.0,12,train,34.0,64.0,74.0,50.0,52.0,0.619,-5.990711943493666,0.616
0.35,1.0759147570561038,0.4859670855270888,-221.25471673512254,-1.0,12,train,30.0,62.0,74.0,46.0,52.0,0.61,-6.7917516218055205,0.607
0.5,1.0759147570561038,0.45756417932056775,-224.4345971510218,-1.0,12,train,26.0,60.0,68.0,46.0,46.0,0.557,-8.06899512259454,0.556
0.0,,,,,12,test,23.0,66.0,75.0,46.0,56.00000000000001,0.622,,
0.001,1.059963514907302,0.48707226589171854,-218.88065328033107,-1.0,13,train,24.0,72.0,84.0,44.0,52.0,0.651,-5.925050481685123,0.651
0.005,1.059963514907302,0.4993352097470276,-218.881834096477,-1.0,13,train,26.0,72.0,84.0,46.0,52.0,0.655,-5.883042309015007,0.655
0.01,1.059963514907302,0.5073138272583829,-218.8841473167604,-1.0,13,train,28.000000000000004,72.0,84.0,46.0,52.0,0.659,-5.848450853111746,0.659
0.05,1.059963514907302,0.5103235248644569,-218.93572840752998,-1.0,13,train,30.0,72.0,82.0,46.0,54.0,0.656,-5.806385920036659,0.653
0.1,1.059963514907302,0.5300540054818085,-219.08114209179405,-1.0,13,train,32.0,72.0,86.0,46.0,56.00000000000001,0.674,-5.944533032166652,0.668
0.15,1.059963514907302,0.5338834649845409,-219.31387465338165,-1.0,13,train,32.0,72.0,86.0,46.0,56.00000000000001,0.686,-6.1844276243147895,0.678
