sample,D,k
0.0,0.01,3.5
1.0,0.001,0.25
2.0,0.01,4.0
3.0,0.01,4.5
4.0,0.005,2.5
5.0,0.005,5.5
6.0,0.05,0.75
7.0,0.05,0.5
8.0,0.005,10.0
9.0,0.005,4.5
10.0,0.001,0.5
11.0,0.05,3.0
12.0,0.05,0.25
13.0,0.001,0.5
14.0,0.01,5.5
15.0,0.01,4.5
16.0,0.001,0.25
17.0,0.01,4.5
18.0,0.1,2.0
19.0,0.001,0.5
20.0,0.05,2.0
21.0,0.05,2.0
22.0,0.01,0.75
23.0,0.05,5.0
24.0,0.005,4.0
25.0,0.01,5.5
26.0,0.01,4.0
27.0,0.001,0.5
28.0,0.001,0.5
29.0,0.001,0.5
30.0,0.005,3.5
31.0,0.01,3.5
32.0,0.01,0.5
33.0,0.1,0.5
34.0,0.001,0.25
35.0,0.15,1.0
36.0,0.001,5.0
37.0,0.001,0.5
38.0,0.005,3.0
39.0,0.005,3.0
40.0,0.001,0.25
41.0,0.1,0.5
42.0,0.05,5.0
43.0,0.01,5.0
44.0,0.001,0.25
45.0,0.1,1.0
46.0,0.05,3.5
47.0,0.001,1.5
48.0,0.05,2.0
49.0,0.005,7.0
